Symbol,Date,Open,High,Low,Close,Volume
AAA.AX,18-Apr-2012,50.13,50.16,50.13,50.16,50672
AAC.AX,18-Apr-2012,1.3,1.305,1.28,1.3,143497
AAD.AX,18-Apr-2012,1.25,1.275,1.24,1.27,1083799
AAI.AX,18-Apr-2012,9.1,9.1,9.1,9.1,0
AAJ.AX,18-Apr-2012,0.07,0.07,0.07,0.07,0
AAK.AX,18-Apr-2012,0.001,0.001,0.001,0.001,0
AAL.AX,18-Apr-2012,0.009,0.01,0.009,0.01,208300
AAR.AX,18-Apr-2012,0.008,0.008,0.008,0.008,11500
AAT.AX,18-Apr-2012,0.013,0.013,0.013,0.013,0
AAU.AX,18-Apr-2012,0.19,0.19,0.19,0.19,0
AAX.AX,18-Apr-2012,4.22,4.29,4.22,4.24,490022
ABC.AX,18-Apr-2012,2.99,3.02,2.92,2.98,1391929
ABP.AX,18-Apr-2012,2,2.02,1.98,2,1288326
ABU.AX,18-Apr-2012,0.048,0.048,0.047,0.047,9369888
ABV.AX,18-Apr-2012,0.022,0.022,0.021,0.022,413043
ABW.AX,18-Apr-2012,1.09,1.09,1.09,1.09,32000
ABY.AX,18-Apr-2012,0.665,0.685,0.665,0.685,125571
ACB.AX,18-Apr-2012,0.225,0.235,0.225,0.23,355150
ACE.AX,18-Apr-2012,0.019,0.019,0.019,0.019,0
ACG.AX,18-Apr-2012,0.079,0.079,0.079,0.079,0
ACK.AX,18-Apr-2012,0.085,0.085,0.085,0.085,0
ACL.AX,18-Apr-2012,0.525,0.53,0.505,0.505,165329
ACP.AX,18-Apr-2012,0.22,0.22,0.22,0.22,10000
ACR.AX,18-Apr-2012,3.95,3.98,3.93,3.97,924037
ACS.AX,18-Apr-2012,0.225,0.225,0.225,0.225,0
ACU.AX,18-Apr-2012,0.001,0.001,0.001,0.001,1000000
ACW.AX,18-Apr-2012,0.023,0.023,0.023,0.023,0
ADA.AX,18-Apr-2012,0.35,0.35,0.35,0.35,0
ADD.AX,18-Apr-2012,0.015,0.015,0.014,0.014,480000
ADN.AX,18-Apr-2012,0.093,0.095,0.093,0.095,76300
ADO.AX,18-Apr-2012,0.082,0.082,0.08,0.081,862194
ADQ.AX,18-Apr-2012,0.08,0.08,0.08,0.08,0
ADX.AX,18-Apr-2012,0.083,0.09,0.083,0.086,1439305
ADY.AX,18-Apr-2012,0.047,0.05,0.047,0.05,243013
AEB.AX,18-Apr-2012,0.38,0.4,0.38,0.39,69750
AED.AX,18-Apr-2012,0.145,0.145,0.145,0.145,0
AEE.AX,18-Apr-2012,0.14,0.14,0.14,0.14,0
AEF.AX,18-Apr-2012,19.25,19.25,19.25,19.25,280
AEI.AX,18-Apr-2012,0.25,0.25,0.25,0.25,0
AEJ.AX,18-Apr-2012,4.43,4.47,4.43,4.47,67
AES.AX,18-Apr-2012,0.035,0.035,0.035,0.035,0
AFA.AX,18-Apr-2012,0.18,0.18,0.175,0.175,105197
AFI.AX,18-Apr-2012,4.24,4.28,4.24,4.28,224009
AFIG.AX,18-Apr-2012,104.6,104.6,104.6,104.6,1000
AFR.AX,18-Apr-2012,0.28,0.28,0.27,0.275,683916
AFT.AX,18-Apr-2012,0.001,0.001,0.001,0.001,0
AGD.AX,18-Apr-2012,0.22,0.22,0.2,0.2,500
AGE.AX,18-Apr-2012,0.175,0.18,0.175,0.18,200466
AGF.AX,18-Apr-2012,0.675,0.69,0.675,0.69,303017
AGG.AX,18-Apr-2012,6.5,6.51,6.48,6.51,10000
AGI.AX,18-Apr-2012,1.35,1.365,1.265,1.35,1579768
AGJ.AX,18-Apr-2012,0.145,0.145,0.145,0.145,0
AGO.AX,18-Apr-2012,2.87,2.94,2.85,2.94,9097551
AGOKOQ.AX,18-Apr-2012,0.955,0.955,0.955,0.955,0
AGR.AX,18-Apr-2012,0.275,0.275,0.25,0.26,315602
AGS.AX,18-Apr-2012,0.28,0.29,0.27,0.27,303654
AGX.AX,18-Apr-2012,0.011,0.011,0.011,0.011,0
AGY.AX,18-Apr-2012,0.085,0.085,0.075,0.075,53250
AHD.AX,18-Apr-2012,6.35,6.45,6.35,6.44,10812
AHK.AX,18-Apr-2012,0.18,0.18,0.18,0.18,0
AHN.AX,18-Apr-2012,0.082,0.082,0.08,0.08,51000
AHR.AX,18-Apr-2012,0.2,0.2,0.2,0.2,0
AHZ.AX,18-Apr-2012,0.03,0.03,0.03,0.03,159129
AIA.AX,18-Apr-2012,2,2,2,2,4910
AIB.AX,18-Apr-2012,1.06,1.06,1.06,1.06,0
AIK.AX,18-Apr-2012,0.065,0.065,0.065,0.065,0
AIO.AX,18-Apr-2012,4.79,4.83,4.74,4.75,3193619
AIOKOB.AX,18-Apr-2012,0.555,0.555,0.555,0.555,0
AIQ.AX,18-Apr-2012,0.53,0.53,0.53,0.53,10000
AIR.AX,18-Apr-2012,0.43,0.43,0.43,0.43,15000
AIV.AX,18-Apr-2012,0.02,0.02,0.02,0.02,145000
AIY.AX,18-Apr-2012,0.01,0.01,0.01,0.01,0
AIZ.AX,18-Apr-2012,0.68,0.68,0.68,0.68,750
AJA.AX,18-Apr-2012,2.73,2.75,2.7,2.75,24818
AJC.AX,18-Apr-2012,0.036,0.04,0.036,0.039,2044163
AJJ.AX,18-Apr-2012,0.09,0.09,0.09,0.09,0
AJL.AX,18-Apr-2012,1.1,1.1,1.09,1.1,108965
AJM.AX,18-Apr-2012,0.225,0.23,0.215,0.22,898348
AJO.AX,18-Apr-2012,1.79,1.79,1.79,1.79,0
AJX.AX,18-Apr-2012,0.085,0.085,0.084,0.084,25000
AKF.AX,18-Apr-2012,0.155,0.155,0.155,0.155,37102
AKG.AX,18-Apr-2012,0.6,0.6,0.6,0.6,3600
AKK.AX,18-Apr-2012,0.028,0.029,0.027,0.028,26395680
AKM.AX,18-Apr-2012,0.305,0.305,0.295,0.295,1202162
AKP.AX,18-Apr-2012,6,6,6,6,0
AKY.AX,18-Apr-2012,99.45,99.45,99.45,99.45,0
ALF.AX,18-Apr-2012,1.125,1.145,1.125,1.14,65978
ALK.AX,18-Apr-2012,1.345,1.35,1.325,1.33,256259
ALL.AX,18-Apr-2012,3.2,3.21,3.15,3.17,1631426
ALLKOB.AX,18-Apr-2012,1.06,1.06,1.06,1.06,0
ALR.AX,18-Apr-2012,1.07,1.07,1.07,1.07,500
ALT.AX,18-Apr-2012,0.024,0.024,0.024,0.024,1529552
ALTO.AX,18-Apr-2012,0.003,0.003,0.003,0.003,0
ALTOA.AX,18-Apr-2012,0.003,0.003,0.003,0.003,0
ALU.AX,18-Apr-2012,0.2,0.2,0.2,0.2,0
ALY.AX,18-Apr-2012,0.14,0.145,0.14,0.145,86276
AMA.AX,18-Apr-2012,0.145,0.145,0.145,0.145,0
AMB.AX,18-Apr-2012,0.2,0.2,0.2,0.2,0
AMC.AX,18-Apr-2012,7.48,7.52,7.39,7.49,3913993
