Symbol,Date,Open,High,Low,Close,Volume
AAA.AX,19-Apr-2012,50.16,50.16,50.16,50.16,0
AAC.AX,19-Apr-2012,1.28,1.29,1.275,1.29,306195
AAD.AX,19-Apr-2012,1.27,1.275,1.26,1.27,1835536
AAI.AX,19-Apr-2012,9.1,9.1,9.1,9.1,0
AAJ.AX,19-Apr-2012,0.07,0.07,0.07,0.07,0
AAK.AX,19-Apr-2012,0.001,0.001,0.001,0.001,0
AAL.AX,19-Apr-2012,0.01,0.011,0.01,0.011,70000
AAR.AX,19-Apr-2012,0.009,0.009,0.009,0.009,625000
AAT.AX,19-Apr-2012,0.013,0.013,0.013,0.013,0
AAU.AX,19-Apr-2012,0.19,0.19,0.19,0.19,0
AAX.AX,19-Apr-2012,4.26,4.26,4.15,4.25,219512
ABC.AX,19-Apr-2012,3.01,3.01,2.96,2.97,1934868
ABP.AX,19-Apr-2012,2,2.03,1.985,2,1258358
ABU.AX,19-Apr-2012,0.047,0.048,0.046,0.047,6795602
ABV.AX,19-Apr-2012,0.021,0.021,0.021,0.021,40000
ABW.AX,19-Apr-2012,1.09,1.09,1.09,1.09,0
ABY.AX,19-Apr-2012,0.68,0.69,0.67,0.68,189650
ACB.AX,19-Apr-2012,0.235,0.24,0.235,0.24,255573
ACE.AX,19-Apr-2012,0.019,0.019,0.019,0.019,0
ACG.AX,19-Apr-2012,0.079,0.079,0.079,0.079,0
ACK.AX,19-Apr-2012,0.085,0.085,0.085,0.085,0
ACL.AX,19-Apr-2012,0.505,0.51,0.5,0.5,256560
ACP.AX,19-Apr-2012,0.21,0.21,0.21,0.21,10000
ACR.AX,19-Apr-2012,3.97,3.97,3.94,3.96,976341
ACS.AX,19-Apr-2012,0.225,0.225,0.225,0.225,0
ACU.AX,19-Apr-2012,0.002,0.002,0.002,0.002,200000
ACW.AX,19-Apr-2012,0.029,0.029,0.029,0.029,30000
ADA.AX,19-Apr-2012,0.35,0.35,0.35,0.35,0
ADD.AX,19-Apr-2012,0.015,0.015,0.015,0.015,400000
ADN.AX,19-Apr-2012,0.09,0.09,0.09,0.09,21000
ADO.AX,19-Apr-2012,0.081,0.081,0.081,0.081,687806
ADQ.AX,19-Apr-2012,0.08,0.08,0.08,0.08,0
ADX.AX,19-Apr-2012,0.086,0.086,0.082,0.086,263000
ADY.AX,19-Apr-2012,0.047,0.048,0.047,0.048,44000
AEB.AX,19-Apr-2012,0.395,0.395,0.385,0.385,105256
AED.AX,19-Apr-2012,0.145,0.145,0.145,0.145,0
AEE.AX,19-Apr-2012,0.145,0.15,0.135,0.135,331242
AEF.AX,19-Apr-2012,19.25,19.25,19.25,19.25,40
AEI.AX,19-Apr-2012,0.26,0.26,0.26,0.26,10000
AEJ.AX,19-Apr-2012,4.5,4.5,4.42,4.42,398
AES.AX,19-Apr-2012,0.035,0.035,0.035,0.035,0
AFA.AX,19-Apr-2012,0.18,0.18,0.18,0.18,100000
AFI.AX,19-Apr-2012,4.26,4.29,4.26,4.29,247813
AFIG.AX,19-Apr-2012,104.65,104.8,104.5,104.8,3688
AFR.AX,19-Apr-2012,0.27,0.275,0.265,0.27,495291
AFT.AX,19-Apr-2012,0.001,0.001,0.001,0.001,0
AGD.AX,19-Apr-2012,0.2,0.2,0.2,0.2,1800
AGE.AX,19-Apr-2012,0.18,0.185,0.16,0.165,925582
AGF.AX,19-Apr-2012,0.69,0.695,0.69,0.695,138358
AGG.AX,19-Apr-2012,6.51,6.62,6.49,6.55,6281
AGI.AX,19-Apr-2012,1.355,1.515,1.355,1.495,647887
AGJ.AX,19-Apr-2012,0.145,0.145,0.145,0.145,0
AGO.AX,19-Apr-2012,2.94,3,2.93,2.99,10279330
AGOKOQ.AX,19-Apr-2012,0.955,0.955,0.955,0.955,0
AGR.AX,19-Apr-2012,0.265,0.265,0.26,0.26,12195
AGS.AX,19-Apr-2012,0.275,0.28,0.27,0.275,239241
AGX.AX,19-Apr-2012,0.012,0.012,0.012,0.012,40000
AGY.AX,19-Apr-2012,0.075,0.075,0.075,0.075,600
AHD.AX,19-Apr-2012,6.4,6.4,6.38,6.4,7474
AHK.AX,19-Apr-2012,0.18,0.18,0.18,0.18,10000
AHN.AX,19-Apr-2012,0.081,0.081,0.08,0.08,123200
AHR.AX,19-Apr-2012,0.2,0.2,0.2,0.2,0
AHZ.AX,19-Apr-2012,0.029,0.03,0.029,0.03,1125410
AIA.AX,19-Apr-2012,1.99,2.04,1.99,2.04,283
AIB.AX,19-Apr-2012,1.06,1.06,1.06,1.06,0
AIK.AX,19-Apr-2012,0.065,0.065,0.065,0.065,0
AIO.AX,19-Apr-2012,4.72,4.825,4.715,4.79,4299124
AIOKOB.AX,19-Apr-2012,0.555,0.555,0.555,0.555,0
AIQ.AX,19-Apr-2012,0.53,0.53,0.53,0.53,0
AIR.AX,19-Apr-2012,0.42,0.42,0.385,0.385,15224
AIV.AX,19-Apr-2012,0.02,0.02,0.02,0.02,18291
AIY.AX,19-Apr-2012,0.01,0.01,0.01,0.01,0
AIZ.AX,19-Apr-2012,0.68,0.68,0.68,0.68,400
AJA.AX,19-Apr-2012,2.75,2.75,2.72,2.75,5853
AJC.AX,19-Apr-2012,0.039,0.039,0.039,0.039,0
AJJ.AX,19-Apr-2012,0.09,0.09,0.09,0.09,0
AJL.AX,19-Apr-2012,1.095,1.095,1.08,1.08,40739
AJM.AX,19-Apr-2012,0.215,0.22,0.21,0.21,212978
AJO.AX,19-Apr-2012,1.79,1.79,1.79,1.79,0
AJX.AX,19-Apr-2012,0.084,0.084,0.084,0.084,0
AKF.AX,19-Apr-2012,0.16,0.16,0.16,0.16,130818
AKG.AX,19-Apr-2012,0.6,0.6,0.6,0.6,0
AKK.AX,19-Apr-2012,0.028,0.028,0.028,0.028,9147220
AKM.AX,19-Apr-2012,0.295,0.3,0.295,0.3,185350
AKP.AX,19-Apr-2012,5.77,5.79,5.77,5.78,20609
AKY.AX,19-Apr-2012,99.45,99.45,99.45,99.45,0
ALF.AX,19-Apr-2012,1.14,1.14,1.14,1.14,57500
ALK.AX,19-Apr-2012,1.325,1.335,1.3,1.31,443028
ALL.AX,19-Apr-2012,3.19,3.19,3.13,3.15,3039034
ALLKOB.AX,19-Apr-2012,1.06,1.06,1.06,1.06,0
ALR.AX,19-Apr-2012,1.09,1.09,1.09,1.09,90000
ALT.AX,19-Apr-2012,0.024,0.024,0.024,0.024,9000
ALTO.AX,19-Apr-2012,0.003,0.003,0.003,0.003,0
ALTOA.AX,19-Apr-2012,0.003,0.003,0.003,0.003,0
ALU.AX,19-Apr-2012,0.235,0.25,0.235,0.25,36176
ALY.AX,19-Apr-2012,0.145,0.145,0.14,0.14,7162
AMA.AX,19-Apr-2012,0.145,0.145,0.145,0.145,118000
AMB.AX,19-Apr-2012,0.2,0.2,0.2,0.2,0
AMC.AX,19-Apr-2012,7.49,7.6,7.44,7.51,3811412
AMCKOP.AX,19-Apr-2012,1.32,1.32,1.32,1.32,0
AMCKOQ.AX,19-Apr-2012,2.38,2.38,2.38,2.38,0
AMH.AX,19-Apr-2012,0.74,0.74,0.74,0.74,53046
AMI.AX,19-Apr-2012,0.42,0.42,0.41,0.41,174300
AMO.AX,19-Apr-2012,0.27,0.27,0.27,0.27,24800
AMP.AX,19-Apr-2012,4.29,4.34,4.27,4.33,10345422
AMPKOA.AX,19-Apr-2012,1.2,1.2,1.2,1.2,0
AMPKOE.AX,19-Apr-2012,0.995,0.995,0.995,0.995,0
AMPKOQ.AX,19-Apr-2012,2.44,2.44,2.44,2.44,0
AMPLOA.AX,19-Apr-2012,0.205,0.205,0.205,0.205,0
AMPLOC.AX,19-Apr-2012,1.15,1.15,1.15,1.15,0
AMPLOR.AX,19-Apr-2012,0.45,0.45,0.45,0.45,0
AMT.AX,19-Apr-2012,0.24,0.24,0.24,0.24,0
ANG.AX,19-Apr-2012,5,5.05,4.99,5.05,133160
ANN.AX,19-Apr-2012,14.84,14.99,14.81,14.92,735844
ANO.AX,19-Apr-2012,0.014,0.014,0.014,0.014,400000
ANP.AX,19-Apr-2012,0.017,0.018,0.017,0.018,2081000
ANPO.AX,19-Apr-2012,0.008,0.008,0.008,0.008,44153
ANQ.AX,19-Apr-2012,0.049,0.049,0.049,0.049,0
ANW.AX,19-Apr-2012,0.035,0.035,0.035,0.035,0
ANZ.AX,19-Apr-2012,23.3,23.52,23.26,23.3,8421873
ANZHA.AX,19-Apr-2012,101,101.1,100.8,100.9,16949
ANZKOA.AX,19-Apr-2012,4.13,4.13,4.13,4.13,0
ANZKOE.AX,19-Apr-2012,6.49,6.49,6.49,6.49,0
ANZKOF.AX,19-Apr-2012,5.49,5.49,5.49,5.49,0
ANZKOG.AX,19-Apr-2012,4.87,4.87,4.87,4.87,0
ANZKOP.AX,19-Apr-2012,4.91,4.91,4.91,4.91,0
ANZKOQ.AX,19-Apr-2012,6.99,6.99,6.99,6.99,0
ANZKOS.AX,19-Apr-2012,2.24,2.24,2.24,2.24,0
ANZKOT.AX,19-Apr-2012,3.94,3.94,3.94,3.94,0
ANZKOU.AX,19-Apr-2012,3.28,3.28,3.28,3.28,0
ANZKOV.AX,19-Apr-2012,2.11,2.11,2.11,2.11,0
ANZLOC.AX,19-Apr-2012,3.8,3.8,3.8,3.8,0
ANZLOD.AX,19-Apr-2012,3.77,3.77,3.77,3.77,0
ANZLOQ.AX,19-Apr-2012,1.94,1.94,1.94,1.94,0
ANZLOR.AX,19-Apr-2012,2.81,2.81,2.81,2.81,0
ANZPA.AX,19-Apr-2012,100.999,101.55,100.5,100.6,8858
ANZPC.AX,19-Apr-2012,99.58,99.58,99.05,99.38,7946
AOA.AX,19-Apr-2012,0.165,0.165,0.165,0.165,0
AOD.AX,19-Apr-2012,0.94,0.94,0.94,0.94,9724
AOH.AX,19-Apr-2012,0.265,0.265,0.255,0.255,328877
AOK.AX,19-Apr-2012,0.14,0.14,0.13,0.14,508000
AON.AX,19-Apr-2012,0.052,0.052,0.052,0.052,0
AOP.AX,19-Apr-2012,0.165,0.165,0.165,0.165,6667
APA.AX,19-Apr-2012,5.02,5.1,5,5.07,2078433
APD.AX,19-Apr-2012,0.15,0.15,0.15,0.15,20000
APE.AX,19-Apr-2012,14.55,14.55,14.3,14.3,4906
