Symbol,Date,Open,High,Low,Close,Volume
AAA.AX,02-Oct-2012,50.08,50.08,50.07,50.08,25365
AAC.AX,02-Oct-2012,1.305,1.31,1.28,1.3,217674
AAD.AX,02-Oct-2012,1.34,1.38,1.34,1.37,1125947
AAI.AX,02-Oct-2012,8,8,8,8,0
AAJ.AX,02-Oct-2012,0.084,0.084,0.084,0.084,0
AAK.AX,02-Oct-2012,0.002,0.002,0.002,0.002,530000
AAL.AX,02-Oct-2012,0.005,0.005,0.005,0.005,0
AAR.AX,02-Oct-2012,0.01,0.011,0.01,0.011,1614448
AAT.AX,02-Oct-2012,0.013,0.013,0.013,0.013,0
AAU.AX,02-Oct-2012,0.16,0.16,0.16,0.16,52150
AAX.AX,02-Oct-2012,2.7,2.83,2.68,2.8,279408
ABC.AX,02-Oct-2012,3.08,3.11,3.08,3.09,2268259
ABP.AX,02-Oct-2012,1.94,1.97,1.94,1.97,310730
ABU.AX,02-Oct-2012,0.064,0.065,0.061,0.062,49898993
ABV.AX,02-Oct-2012,0.019,0.019,0.018,0.018,1000000
ABW.AX,02-Oct-2012,1.08,1.08,1.08,1.08,0
ABY.AX,02-Oct-2012,0.51,0.52,0.492,0.495,662070
ACB.AX,02-Oct-2012,0.12,0.12,0.115,0.115,187946
ACE.AX,02-Oct-2012,0.019,0.019,0.019,0.019,0
ACG.AX,02-Oct-2012,0.06,0.06,0.06,0.06,100000
ACK.AX,02-Oct-2012,0.15,0.15,0.145,0.145,237553
ACL.AX,02-Oct-2012,0.515,0.52,0.515,0.52,124616
ACP.AX,02-Oct-2012,0.18,0.18,0.18,0.18,0
ACR.AX,02-Oct-2012,3.18,3.33,3.18,3.29,1013988
ACS.AX,02-Oct-2012,0.275,0.275,0.275,0.275,0
ACU.AX,02-Oct-2012,0.001,0.001,0.001,0.001,0
ACW.AX,02-Oct-2012,0.034,0.034,0.034,0.034,437
ADA.AX,02-Oct-2012,0.28,0.28,0.28,0.28,3750
ADD.AX,02-Oct-2012,0.016,0.016,0.016,0.016,0
ADN.AX,02-Oct-2012,0.051,0.051,0.051,0.051,0
ADO.AX,02-Oct-2012,0.059,0.06,0.056,0.056,1485009
ADQ.AX,02-Oct-2012,0.052,0.052,0.052,0.052,860
ADX.AX,02-Oct-2012,0.017,0.018,0.017,0.018,341000
ADY.AX,02-Oct-2012,0.036,0.036,0.036,0.036,0
AEB.AX,02-Oct-2012,0.335,0.335,0.31,0.315,292385
AED.AX,02-Oct-2012,0.145,0.145,0.145,0.145,0
AEE.AX,02-Oct-2012,0.13,0.135,0.125,0.125,114672
AEF.AX,02-Oct-2012,18.3,18.3,18.3,18.3,0
AEI.AX,02-Oct-2012,0.165,0.165,0.165,0.165,0
AEJ.AX,02-Oct-2012,5.8,5.95,5.8,5.81,238
AES.AX,02-Oct-2012,0.035,0.035,0.035,0.035,0
AFA.AX,02-Oct-2012,0.2,0.2,0.2,0.2,0
AFI.AX,02-Oct-2012,4.45,4.5,4.45,4.5,253168
AFIG.AX,02-Oct-2012,106.5,106.5,106.5,106.5,300
AFR.AX,02-Oct-2012,0.17,0.18,0.165,0.175,654378
AFT.AX,02-Oct-2012,0.001,0.001,0.001,0.001,0
AGD.AX,02-Oct-2012,0.22,0.22,0.22,0.22,0
AGE.AX,02-Oct-2012,0.125,0.125,0.125,0.125,57523
AGF.AX,02-Oct-2012,0.57,0.585,0.565,0.585,206367
AGG.AX,02-Oct-2012,6.76,6.77,6.76,6.77,542
AGI.AX,02-Oct-2012,2.2,2.24,2.14,2.15,499971
AGJ.AX,02-Oct-2012,0.135,0.135,0.135,0.135,0
AGO.AX,02-Oct-2012,1.41,1.44,1.41,1.415,5178451
AGOKOQ.AX,02-Oct-2012,0.55,0.55,0.55,0.55,0
AGOKOR.AX,02-Oct-2012,0.825,0.825,0.825,0.825,0
AGR.AX,02-Oct-2012,0.15,0.15,0.15,0.15,0
AGS.AX,02-Oct-2012,0.21,0.21,0.205,0.21,61849
AGX.AX,02-Oct-2012,0.002,0.003,0.002,0.003,3325000
AGY.AX,02-Oct-2012,0.047,0.047,0.043,0.043,288400
AHD.AX,02-Oct-2012,6.68,6.8,6.68,6.8,29723
AHK.AX,02-Oct-2012,0.1,0.1,0.1,0.1,0
AHN.AX,02-Oct-2012,0.05,0.05,0.05,0.05,0
AHQ.AX,02-Oct-2012,0.071,0.071,0.071,0.071,0
AHR.AX,02-Oct-2012,0.19,0.19,0.19,0.19,0
AHZ.AX,02-Oct-2012,0.025,0.025,0.022,0.022,1700000
AIA.AX,02-Oct-2012,2.07,2.07,2.07,2.07,4700
AIB.AX,02-Oct-2012,1.01,1.01,1.01,1.01,0
AIK.AX,02-Oct-2012,0.046,0.046,0.046,0.046,0
AIO.AX,02-Oct-2012,4.4,4.45,4.365,4.41,3162701
AIOKOB.AX,02-Oct-2012,0.555,0.555,0.555,0.555,0
AIQ.AX,02-Oct-2012,0.39,0.39,0.39,0.39,11038
AIR.AX,02-Oct-2012,0.28,0.28,0.28,0.28,0
AIV.AX,02-Oct-2012,0.013,0.013,0.013,0.013,0
AIY.AX,02-Oct-2012,0.018,0.018,0.018,0.018,0
AIZ.AX,02-Oct-2012,0.97,0.97,0.97,0.97,9000
AJA.AX,02-Oct-2012,2.88,2.88,2.82,2.88,12140
AJC.AX,02-Oct-2012,0.018,0.018,0.018,0.018,100000
AJJ.AX,02-Oct-2012,0.09,0.09,0.09,0.09,0
AJL.AX,02-Oct-2012,0.73,0.77,0.725,0.725,11208
AJM.AX,02-Oct-2012,0.15,0.15,0.15,0.15,3333
AJO.AX,02-Oct-2012,1.79,1.79,1.79,1.79,0
AJQ.AX,02-Oct-2012,0.215,0.265,0.215,0.255,1629387
AJX.AX,02-Oct-2012,0.084,0.084,0.084,0.084,0
AKF.AX,02-Oct-2012,0.15,0.15,0.15,0.15,0
AKG.AX,02-Oct-2012,0.8,0.8,0.8,0.8,0
AKK.AX,02-Oct-2012,0.028,0.028,0.026,0.026,8798623
AKM.AX,02-Oct-2012,0.09,0.09,0.089,0.09,496968
AKP.AX,02-Oct-2012,5.1,5.1,5.1,5.1,0
AKY.AX,02-Oct-2012,85.11,85.11,85.11,85.11,0
ALF.AX,02-Oct-2012,1.295,1.3,1.295,1.3,50771
ALK.AX,02-Oct-2012,0.95,0.965,0.94,0.955,127403
