Symbol,Date,Open,High,Low,Close,Volume
AAA.AX,08-Jun-2012,50.13,50.13,50.13,50.13,8975
AAC.AX,08-Jun-2012,1.145,1.145,1.1,1.105,323075
AAD.AX,08-Jun-2012,1.295,1.295,1.275,1.275,251573
AAI.AX,08-Jun-2012,8.5,8.5,8.5,8.5,0
AAJ.AX,08-Jun-2012,0.07,0.07,0.07,0.07,0
AAK.AX,08-Jun-2012,0.001,0.001,0.001,0.001,0
AAL.AX,08-Jun-2012,0.006,0.006,0.006,0.006,0
AAR.AX,08-Jun-2012,0.006,0.007,0.006,0.006,24000
AAT.AX,08-Jun-2012,0.013,0.013,0.013,0.013,0
AAU.AX,08-Jun-2012,0.175,0.175,0.175,0.175,0
AAX.AX,08-Jun-2012,3.34,3.36,3.22,3.25,444599
ABC.AX,08-Jun-2012,3.01,3.04,2.93,2.99,3118647
ABP.AX,08-Jun-2012,1.93,1.93,1.9,1.9,254158
ABU.AX,08-Jun-2012,0.04,0.04,0.037,0.039,3542593
ABV.AX,08-Jun-2012,0.019,0.019,0.018,0.018,590000
ABW.AX,08-Jun-2012,1.1,1.1,1.1,1.1,0
ABY.AX,08-Jun-2012,0.485,0.485,0.465,0.47,1601476
ACB.AX,08-Jun-2012,0.15,0.15,0.14,0.14,90000
ACE.AX,08-Jun-2012,0.019,0.019,0.019,0.019,0
ACG.AX,08-Jun-2012,0.09,0.09,0.09,0.09,0
ACK.AX,08-Jun-2012,0.086,0.09,0.086,0.09,70598
ACL.AX,08-Jun-2012,0.435,0.44,0.425,0.44,50266
ACP.AX,08-Jun-2012,0.21,0.21,0.21,0.21,0
ACR.AX,08-Jun-2012,4.4,4.4,4.32,4.38,959304
ACS.AX,08-Jun-2012,0.24,0.24,0.24,0.24,0
ACU.AX,08-Jun-2012,0.001,0.001,0.001,0.001,0
ACW.AX,08-Jun-2012,0.027,0.027,0.027,0.027,0
ADA.AX,08-Jun-2012,0.37,0.37,0.37,0.37,0
ADD.AX,08-Jun-2012,0.014,0.014,0.014,0.014,150000
ADN.AX,08-Jun-2012,0.057,0.057,0.056,0.056,465723
ADO.AX,08-Jun-2012,0.067,0.067,0.066,0.067,234700
ADQ.AX,08-Jun-2012,0.07,0.07,0.07,0.07,0
ADX.AX,08-Jun-2012,0.086,0.086,0.083,0.086,443651
ADY.AX,08-Jun-2012,0.046,0.047,0.044,0.044,96070
AEB.AX,08-Jun-2012,0.34,0.34,0.34,0.34,20047
AED.AX,08-Jun-2012,0.145,0.145,0.145,0.145,0
AEE.AX,08-Jun-2012,0.14,0.14,0.14,0.14,661666
AEF.AX,08-Jun-2012,18,18,18,18,105
AEI.AX,08-Jun-2012,0.17,0.17,0.165,0.165,90000
AEJ.AX,08-Jun-2012,4.4,4.4,4.4,4.4,93
AES.AX,08-Jun-2012,0.035,0.035,0.035,0.035,0
AFA.AX,08-Jun-2012,0.185,0.19,0.185,0.19,150000
AFI.AX,08-Jun-2012,4.13,4.13,4.07,4.12,181116
AFIG.AX,08-Jun-2012,106.3,106.3,105.7,106,1709
AFR.AX,08-Jun-2012,0.21,0.21,0.195,0.205,1759891
AFT.AX,08-Jun-2012,0.001,0.001,0.001,0.001,0
AGD.AX,08-Jun-2012,0.15,0.15,0.15,0.15,4685
AGE.AX,08-Jun-2012,0.11,0.11,0.11,0.11,0
AGF.AX,08-Jun-2012,0.68,0.68,0.675,0.675,621803
AGG.AX,08-Jun-2012,7.47,7.47,7.47,7.47,1
AGI.AX,08-Jun-2012,1.75,1.77,1.705,1.77,769861
AGJ.AX,08-Jun-2012,0.165,0.165,0.165,0.165,0
AGO.AX,08-Jun-2012,2.12,2.13,2.04,2.05,10025621
AGOKOQ.AX,08-Jun-2012,0.955,0.955,0.955,0.955,0
AGOKOR.AX,08-Jun-2012,1.47,1.47,1.47,1.47,0
AGR.AX,08-Jun-2012,0.21,0.21,0.21,0.21,50000
AGS.AX,08-Jun-2012,0.235,0.245,0.225,0.23,644482
AGX.AX,08-Jun-2012,0.005,0.005,0.004,0.004,1032734
AGY.AX,08-Jun-2012,0.057,0.057,0.057,0.057,0
AHD.AX,08-Jun-2012,6.41,6.47,6.33,6.35,153824
AHK.AX,08-Jun-2012,0.12,0.12,0.12,0.12,8000
AHN.AX,08-Jun-2012,0.04,0.04,0.04,0.04,0
AHQ.AX,08-Jun-2012,0.12,0.12,0.12,0.12,5000
AHR.AX,08-Jun-2012,0.2,0.2,0.2,0.2,101
AHZ.AX,08-Jun-2012,0.02,0.02,0.019,0.019,2587631
AIA.AX,08-Jun-2012,1.95,1.95,1.94,1.94,102032
AIB.AX,08-Jun-2012,1,1,1,1,0
AIK.AX,08-Jun-2012,0.045,0.045,0.045,0.045,0
AIO.AX,08-Jun-2012,4.44,4.44,4.29,4.32,4404305
AIOKOB.AX,08-Jun-2012,0.555,0.555,0.555,0.555,0
AIQ.AX,08-Jun-2012,0.385,0.385,0.385,0.385,0
AIR.AX,08-Jun-2012,0.34,0.34,0.34,0.34,0
AIV.AX,08-Jun-2012,0.02,0.02,0.02,0.02,0
AIY.AX,08-Jun-2012,0.007,0.007,0.007,0.007,0
AIZ.AX,08-Jun-2012,0.665,0.665,0.655,0.655,104293
AJA.AX,08-Jun-2012,2.75,2.81,2.75,2.76,47967
AJC.AX,08-Jun-2012,0.03,0.03,0.03,0.03,580008
AJJ.AX,08-Jun-2012,0.11,0.11,0.11,0.11,0
AJL.AX,08-Jun-2012,0.96,0.96,0.9,0.9,122225
AJM.AX,08-Jun-2012,0.18,0.19,0.18,0.19,50000
AJO.AX,08-Jun-2012,1.79,1.79,1.79,1.79,0
AJQ.AX,08-Jun-2012,0.36,0.36,0.34,0.36,27342
AJX.AX,08-Jun-2012,0.089,0.089,0.089,0.089,0
AKF.AX,08-Jun-2012,0.155,0.155,0.155,0.155,0
AKG.AX,08-Jun-2012,0.46,0.46,0.46,0.46,0
AKK.AX,08-Jun-2012,0.021,0.021,0.019,0.02,6225000
AKM.AX,08-Jun-2012,0.14,0.14,0.13,0.135,1345136
AKP.AX,08-Jun-2012,5.5,5.5,5.5,5.5,0
AKY.AX,08-Jun-2012,83.4,83.4,83.4,83.4,0
ALF.AX,08-Jun-2012,1.14,1.14,1.14,1.14,6500
ALK.AX,08-Jun-2012,0.92,0.935,0.9,0.91,5772153
ALL.AX,08-Jun-2012,2.85,2.9,2.79,2.87,2581270
ALLKOB.AX,08-Jun-2012,1.06,1.06,1.06,1.06,0
