Symbol,Date,Open,High,Low,Close,Volume
AAA.AX,21-Mar-2012,50.1,50.1,50.1,50.1,70
AAC.AX,21-Mar-2012,1.35,1.385,1.345,1.35,511250
AAD.AX,21-Mar-2012,1.12,1.13,1.12,1.125,1852613
AAI.AX,21-Mar-2012,9.45,9.45,9.45,9.45,0
AAJ.AX,21-Mar-2012,0.07,0.07,0.07,0.07,0
AAK.AX,21-Mar-2012,0.001,0.001,0.001,0.001,0
AAL.AX,21-Mar-2012,0.012,0.012,0.012,0.012,0
AAR.AX,21-Mar-2012,0.01,0.01,0.01,0.01,0
AAT.AX,21-Mar-2012,0.013,0.013,0.013,0.013,0
AAU.AX,21-Mar-2012,0.18,0.18,0.18,0.18,166110
AAX.AX,21-Mar-2012,4.51,4.52,4.3,4.37,456917
ABC.AX,21-Mar-2012,2.87,2.93,2.86,2.9,1790469
ABP.AX,21-Mar-2012,1.92,2,1.92,1.99,1562646
ABU.AX,21-Mar-2012,0.05,0.05,0.048,0.049,1924427
ABV.AX,21-Mar-2012,0.018,0.018,0.018,0.018,410093
ABW.AX,21-Mar-2012,1.115,1.115,1.11,1.11,62883
ABY.AX,21-Mar-2012,0.755,0.755,0.745,0.745,60008
ACB.AX,21-Mar-2012,0.23,0.23,0.22,0.22,44000
ACE.AX,21-Mar-2012,0.019,0.019,0.019,0.019,0
ACG.AX,21-Mar-2012,0.065,0.065,0.065,0.065,0
ACK.AX,21-Mar-2012,0.115,0.115,0.115,0.115,0
ACL.AX,21-Mar-2012,0.475,0.48,0.47,0.48,159935
ACP.AX,21-Mar-2012,0.2,0.2,0.2,0.2,0
ACR.AX,21-Mar-2012,3.95,3.97,3.86,3.87,940667
ACS.AX,21-Mar-2012,0.3,0.3,0.3,0.3,0
ACU.AX,21-Mar-2012,0.001,0.001,0.001,0.001,2870000
ACW.AX,21-Mar-2012,0.023,0.023,0.022,0.022,33857
ADA.AX,21-Mar-2012,0.315,0.315,0.315,0.315,14700
ADD.AX,21-Mar-2012,0.014,0.014,0.014,0.014,87300
ADN.AX,21-Mar-2012,0.105,0.105,0.099,0.099,1243870
ADO.AX,21-Mar-2012,0.081,0.083,0.08,0.08,763706
ADQ.AX,21-Mar-2012,0.066,0.066,0.066,0.066,0
ADX.AX,21-Mar-2012,0.086,0.087,0.085,0.087,963209
ADY.AX,21-Mar-2012,0.048,0.048,0.048,0.048,220975
AEB.AX,21-Mar-2012,0.385,0.405,0.385,0.405,237000
AED.AX,21-Mar-2012,0.145,0.145,0.145,0.145,0
AEE.AX,21-Mar-2012,0.18,0.185,0.18,0.185,65750
AEF.AX,21-Mar-2012,19,19,19,19,0
AEI.AX,21-Mar-2012,0.215,0.215,0.215,0.215,1120
AEJ.AX,21-Mar-2012,4.2,4.23,4.2,4.21,186
AES.AX,21-Mar-2012,0.035,0.035,0.035,0.035,0
AFA.AX,21-Mar-2012,0.16,0.16,0.16,0.16,30000
AFI.AX,21-Mar-2012,4.17,4.19,4.15,4.15,292195
AFIG.AX,21-Mar-2012,105,105.25,105,105.25,590
AFR.AX,21-Mar-2012,0.315,0.315,0.295,0.295,881478
AFT.AX,21-Mar-2012,0.001,0.001,0.001,0.001,0
AGD.AX,21-Mar-2012,0.22,0.22,0.22,0.22,10000
AGE.AX,21-Mar-2012,0.18,0.185,0.175,0.18,281843
