Symbol,Date,Open,High,Low,Close,Volume
AAA.AX,20-Jul-2012,50.18,50.18,50.18,50.18,12498
AAC.AX,20-Jul-2012,1.08,1.09,1.06,1.085,521157
AAD.AX,20-Jul-2012,1.255,1.28,1.255,1.28,937465
AAI.AX,20-Jul-2012,8.49,8.49,8.49,8.49,0
AAJ.AX,20-Jul-2012,0.07,0.07,0.07,0.07,0
AAK.AX,20-Jul-2012,0.002,0.002,0.002,0.002,0
AAL.AX,20-Jul-2012,0.006,0.006,0.006,0.006,0
AAR.AX,20-Jul-2012,0.007,0.007,0.006,0.006,676337
AAT.AX,20-Jul-2012,0.013,0.013,0.013,0.013,0
AAU.AX,20-Jul-2012,0.18,0.18,0.18,0.18,1582
AAX.AX,20-Jul-2012,3.3,3.4,3.26,3.35,120138
ABC.AX,20-Jul-2012,3.28,3.29,3.23,3.24,1436883
ABP.AX,20-Jul-2012,1.96,2,1.96,1.99,1269399
ABU.AX,20-Jul-2012,0.041,0.042,0.041,0.042,2746783
ABV.AX,20-Jul-2012,0.015,0.016,0.015,0.016,4902118
ABW.AX,20-Jul-2012,1.085,1.085,1.085,1.085,0
ABY.AX,20-Jul-2012,0.435,0.45,0.435,0.44,293243
ACB.AX,20-Jul-2012,0.165,0.17,0.165,0.165,495102
ACE.AX,20-Jul-2012,0.019,0.019,0.019,0.019,0
ACG.AX,20-Jul-2012,0.06,0.06,0.06,0.06,5000
ACK.AX,20-Jul-2012,0.115,0.115,0.115,0.115,0
ACL.AX,20-Jul-2012,0.5,0.505,0.5,0.5,139027
ACP.AX,20-Jul-2012,0.18,0.18,0.18,0.18,0
ACR.AX,20-Jul-2012,4.03,4.07,4,4.02,602385
ACS.AX,20-Jul-2012,0.29,0.29,0.29,0.29,25500
ACU.AX,20-Jul-2012,0.001,0.001,0.001,0.001,0
ACW.AX,20-Jul-2012,0.03,0.03,0.03,0.03,20000
ADA.AX,20-Jul-2012,0.385,0.385,0.385,0.385,0
ADD.AX,20-Jul-2012,0.016,0.016,0.016,0.016,140000
ADN.AX,20-Jul-2012,0.047,0.047,0.047,0.047,0
ADO.AX,20-Jul-2012,0.073,0.074,0.071,0.074,381064
ADQ.AX,20-Jul-2012,0.063,0.063,0.063,0.063,0
ADX.AX,20-Jul-2012,0.022,0.023,0.021,0.023,702088
ADY.AX,20-Jul-2012,0.045,0.045,0.045,0.045,295258
