Symbol,Date,Open,High,Low,Close,Volume
AAA.AX,26-Jul-2012,50.22,50.22,50.21,50.22,5575
AAC.AX,26-Jul-2012,1.085,1.095,1.08,1.08,116877
AAD.AX,26-Jul-2012,1.25,1.27,1.23,1.27,374071
AAI.AX,26-Jul-2012,8.49,8.49,8.49,8.49,0
AAJ.AX,26-Jul-2012,0.07,0.07,0.07,0.07,0
AAK.AX,26-Jul-2012,0.002,0.002,0.002,0.002,0
AAL.AX,26-Jul-2012,0.006,0.006,0.006,0.006,0
AAR.AX,26-Jul-2012,0.006,0.006,0.006,0.006,90000
AAT.AX,26-Jul-2012,0.013,0.013,0.013,0.013,0
AAU.AX,26-Jul-2012,0.19,0.19,0.19,0.19,32527
AAX.AX,26-Jul-2012,3.03,3.07,2.97,3.06,176942
ABC.AX,26-Jul-2012,3.15,3.25,3.15,3.24,1200246
ABP.AX,26-Jul-2012,1.945,1.945,1.93,1.945,186556
ABU.AX,26-Jul-2012,0.039,0.04,0.038,0.039,6733992
ABV.AX,26-Jul-2012,0.016,0.016,0.016,0.016,0
ABW.AX,26-Jul-2012,1.085,1.085,1.085,1.085,0
ABY.AX,26-Jul-2012,0.44,0.44,0.425,0.425,77880
ACB.AX,26-Jul-2012,0.14,0.14,0.13,0.13,12434
ACE.AX,26-Jul-2012,0.019,0.019,0.019,0.019,0
ACG.AX,26-Jul-2012,0.06,0.06,0.06,0.06,0
ACK.AX,26-Jul-2012,0.125,0.125,0.125,0.125,114352
ACL.AX,26-Jul-2012,0.47,0.475,0.47,0.47,168580
ACP.AX,26-Jul-2012,0.18,0.18,0.18,0.18,0
ACR.AX,26-Jul-2012,3.8,3.81,3.62,3.78,643569
ACS.AX,26-Jul-2012,0.29,0.29,0.29,0.29,25000
ACU.AX,26-Jul-2012,0.001,0.001,0.001,0.001,0
ACW.AX,26-Jul-2012,0.035,0.035,0.035,0.035,12500
ADA.AX,26-Jul-2012,0.385,0.385,0.385,0.385,0
ADD.AX,26-Jul-2012,0.016,0.016,0.016,0.016,0
ADN.AX,26-Jul-2012,0.046,0.046,0.046,0.046,0
ADO.AX,26-Jul-2012,0.069,0.072,0.069,0.072,355000
ADQ.AX,26-Jul-2012,0.063,0.063,0.063,0.063,0
ADX.AX,26-Jul-2012,0.023,0.023,0.022,0.022,250000
ADY.AX,26-Jul-2012,0.045,0.045,0.045,0.045,60308
AEB.AX,26-Jul-2012,0.325,0.33,0.32,0.33,6500
AED.AX,26-Jul-2012,0.145,0.145,0.145,0.145,0
AEE.AX,26-Jul-2012,0.15,0.15,0.145,0.145,83618
AEF.AX,26-Jul-2012,18,18,18,18,647
AEI.AX,26-Jul-2012,0.165,0.165,0.165,0.165,0
AEJ.AX,26-Jul-2012,3.95,3.95,3.95,3.95,5
AES.AX,26-Jul-2012,0.035,0.035,0.035,0.035,0
AFA.AX,26-Jul-2012,0.23,0.23,0.23,0.23,0
AFI.AX,26-Jul-2012,4.32,4.39,4.3,4.39,264494
AFIG.AX,26-Jul-2012,107.25,107.25,107,107,1549
AFR.AX,26-Jul-2012,0.195,0.195,0.185,0.185,2102064
AFT.AX,26-Jul-2012,0.001,0.001,0.001,0.001,0
AGD.AX,26-Jul-2012,0.15,0.15,0.15,0.15,0
AGE.AX,26-Jul-2012,0.088,0.088,0.088,0.088,0
AGF.AX,26-Jul-2012,0.595,0.595,0.59,0.595,46820
AGG.AX,26-Jul-2012,6.36,6.36,6.35,6.35,609
AGI.AX,26-Jul-2012,2.16,2.23,2.15,2.23,456023
AGJ.AX,26-Jul-2012,0.14,0.14,0.14,0.14,0
AGO.AX,26-Jul-2012,1.7,1.705,1.615,1.63,12979456
AGOKOQ.AX,26-Jul-2012,0.955,0.955,0.955,0.955,0
AGOKOR.AX,26-Jul-2012,0.55,0.55,0.55,0.55,0
AGR.AX,26-Jul-2012,0.165,0.165,0.165,0.165,35000
AGS.AX,26-Jul-2012,0.2,0.2,0.19,0.19,42240
AGX.AX,26-Jul-2012,0.004,0.004,0.004,0.004,3356757
AGY.AX,26-Jul-2012,0.048,0.048,0.048,0.048,600
AHD.AX,26-Jul-2012,6.55,6.59,6.52,6.55,544260
AHK.AX,26-Jul-2012,0.09,0.09,0.09,0.09,1940
AHN.AX,26-Jul-2012,0.07,0.07,0.07,0.07,0
AHQ.AX,26-Jul-2012,0.081,0.081,0.081,0.081,0
AHR.AX,26-Jul-2012,0.19,0.19,0.19,0.19,0
AHZ.AX,26-Jul-2012,0.015,0.015,0.015,0.015,600000
AIA.AX,26-Jul-2012,1.92,1.92,1.92,1.92,1650
AIB.AX,26-Jul-2012,1.01,1.01,1.01,1.01,10500
AIK.AX,26-Jul-2012,0.05,0.05,0.05,0.05,0
AIO.AX,26-Jul-2012,4.15,4.185,4.13,4.17,1653975
AIOKOB.AX,26-Jul-2012,0.555,0.555,0.555,0.555,0
AIQ.AX,26-Jul-2012,0.395,0.395,0.395,0.395,142740
AIR.AX,26-Jul-2012,0.39,0.39,0.385,0.385,28833
AIV.AX,26-Jul-2012,0.022,0.022,0.022,0.022,0
AIY.AX,26-Jul-2012,0.006,0.006,0.006,0.006,0
AIZ.AX,26-Jul-2012,0.67,0.67,0.66,0.66,5485
AJA.AX,26-Jul-2012,2.75,2.8,2.75,2.75,12531
AJC.AX,26-Jul-2012,0.024,0.024,0.023,0.023,217250
AJJ.AX,26-Jul-2012,0.11,0.11,0.11,0.11,0
AJL.AX,26-Jul-2012,1,1.025,0.98,0.98,1307602
AJM.AX,26-Jul-2012,0.18,0.18,0.17,0.17,125852
AJO.AX,26-Jul-2012,1.79,1.79,1.79,1.79,0
AJQ.AX,26-Jul-2012,0.2,0.23,0.2,0.22,1020800
AJX.AX,26-Jul-2012,0.09,0.09,0.09,0.09,0
AKF.AX,26-Jul-2012,0.16,0.16,0.16,0.16,0
AKG.AX,26-Jul-2012,0.49,0.49,0.49,0.49,0
AKK.AX,26-Jul-2012,0.019,0.019,0.018,0.019,1352000
AKM.AX,26-Jul-2012,0.12,0.12,0.115,0.115,221448
AKP.AX,26-Jul-2012,4.93,4.95,4.93,4.95,10000
AKY.AX,26-Jul-2012,83.82,83.82,83.82,83.82,0
ALF.AX,26-Jul-2012,1.2,1.2,1.2,1.2,29292
ALK.AX,26-Jul-2012,0.88,0.88,0.85,0.85,397333
ALL.AX,26-Jul-2012,2.52,2.53,2.36,2.38,2152183
ALLKOB.AX,26-Jul-2012,1.06,1.06,1.06,1.06,0
ALR.AX,26-Jul-2012,0.99,0.99,0.975,0.99,35315
ALT.AX,26-Jul-2012,0.02,0.02,0.02,0.02,91368
ALTO.AX,26-Jul-2012,0.001,0.001,0.001,0.001,0
ALTOA.AX,26-Jul-2012,0.002,0.002,0.002,0.002,0
ALU.AX,26-Jul-2012,0.41,0.45,0.41,0.45,9424
ALY.AX,26-Jul-2012,0.072,0.072,0.072,0.072,15152
AMA.AX,26-Jul-2012,0.145,0.145,0.145,0.145,138000
AMB.AX,26-Jul-2012,0.16,0.16,0.16,0.16,0
AMC.AX,26-Jul-2012,7.4,7.46,7.36,7.42,1686997
AMCKOP.AX,26-Jul-2012,1.655,1.655,1.655,1.655,0
AMCKOQ.AX,26-Jul-2012,1.27,1.27,1.27,1.27,0
AMH.AX,26-Jul-2012,0.71,0.71,0.71,0.71,30000
AMI.AX,26-Jul-2012,0.21,0.21,0.2,0.21,145000
AMO.AX,26-Jul-2012,0.21,0.21,0.21,0.21,0
AMP.AX,26-Jul-2012,3.79,3.82,3.77,3.8,8258419
AMPKOA.AX,26-Jul-2012,0.745,0.745,0.745,0.745,0
AMPKOE.AX,26-Jul-2012,1.03,1.03,1.03,1.03,0
AMPKOQ.AX,26-Jul-2012,1.45,1.45,1.45,1.45,0
AMPLOC.AX,26-Jul-2012,0.81,0.81,0.81,0.81,0
AMPLOR.AX,26-Jul-2012,0.31,0.31,0.31,0.31,4500
AMT.AX,26-Jul-2012,0.145,0.145,0.145,0.145,0
ANG.AX,26-Jul-2012,4.22,4.22,4.19,4.22,6568
ANN.AX,26-Jul-2012,13.07,13.15,12.89,12.95,739462
ANO.AX,26-Jul-2012,0.009,0.009,0.009,0.009,0
ANP.AX,26-Jul-2012,0.017,0.018,0.017,0.017,15476063
ANQ.AX,26-Jul-2012,0.049,0.05,0.048,0.048,2213000
ANW.AX,26-Jul-2012,0.022,0.022,0.022,0.022,0
ANZ.AX,26-Jul-2012,22.64,22.79,22.545,22.66,3825519
ANZHA.AX,26-Jul-2012,101,101.25,100.95,101.2,16293
ANZKOA.AX,26-Jul-2012,3.5,3.5,3.5,3.5,0
ANZKOE.AX,26-Jul-2012,3.05,3.05,3.05,3.05,0
ANZKOF.AX,26-Jul-2012,3.7,3.7,3.7,3.7,0
ANZKOG.AX,26-Jul-2012,1.72,1.72,1.57,1.625,19000
ANZKOU.AX,26-Jul-2012,4.93,4.93,4.93,4.93,0
ANZLOD.AX,26-Jul-2012,2.13,2.13,2.13,2.13,0
ANZLOQ.AX,26-Jul-2012,1.25,1.25,1.25,1.25,0
ANZLOR.AX,26-Jul-2012,2.97,2.97,2.97,2.97,0
ANZLOS.AX,26-Jul-2012,1.085,1.085,1.085,1.085,0
ANZLOT.AX,26-Jul-2012,1.315,1.315,1.315,1.315,0
ANZPA.AX,26-Jul-2012,100.999,100.999,100.551,100.6,12484
ANZPC.AX,26-Jul-2012,100.7,100.95,100.3,100.6,6414
AOA.AX,26-Jul-2012,0.155,0.155,0.155,0.155,0
AOD.AX,26-Jul-2012,0.885,0.885,0.885,0.885,0
AOH.AX,26-Jul-2012,0.275,0.275,0.25,0.265,1787862
AOK.AX,26-Jul-2012,0.12,0.125,0.12,0.12,248000
AON.AX,26-Jul-2012,0.038,0.038,0.038,0.038,0
AOP.AX,26-Jul-2012,0.1,0.1,0.1,0.1,0
APA.AX,26-Jul-2012,4.94,4.94,4.88,4.9,2045840
APAKOA.AX,26-Jul-2012,1.905,1.905,1.905,1.905,0
APD.AX,26-Jul-2012,0.16,0.16,0.16,0.16,10000
APE.AX,26-Jul-2012,3.59,3.59,3.56,3.59,12500
APG.AX,26-Jul-2012,0.031,0.031,0.03,0.03,85000
API.AX,26-Jul-2012,0.345,0.35,0.345,0.345,472639
APN.AX,26-Jul-2012,0.51,0.535,0.51,0.535,1265135
APZ.AX,26-Jul-2012,0.42,0.425,0.415,0.425,78975
AQC.AX,26-Jul-2012,0.021,0.021,0.02,0.02,300000
AQD.AX,26-Jul-2012,0.027,0.027,0.027,0.027,150000
AQF.AX,26-Jul-2012,1.49,1.49,1.49,1.49,0
AQG.AX,26-Jul-2012,5.54,5.6,5.49,5.55,705361
AQP.AX,26-Jul-2012,0.57,0.59,0.565,0.58,1314623
AQQ.AX,26-Jul-2012,0.045,0.045,0.044,0.044,297500
AQR.AX,26-Jul-2012,0.07,0.07,0.07,0.07,0
AQZ.AX,26-Jul-2012,2.05,2.05,2.05,2.05,0
ARA.AX,26-Jul-2012,0.33,0.33,0.33,0.33,0
ARD.AX,26-Jul-2012,0.054,0.054,0.054,0.054,12000
ARE.AX,26-Jul-2012,0.04,0.04,0.04,0.04,236667
