Symbol,Date,Open,High,Low,Close,Volume
AAA.AX,19-Apr-2013,50.18,50.18,50.18,50.18,4125
AAC.AX,19-Apr-2013,1.165,1.172,1.16,1.16,198180
AAD.AX,19-Apr-2013,1.46,1.5,1.46,1.5,699688
AAI.AX,19-Apr-2013,7.95,7.95,7.95,7.95,0
AAJ.AX,19-Apr-2013,0.055,0.055,0.055,0.055,0
AAK.AX,19-Apr-2013,0.001,0.001,0.001,0.001,0
AAL.AX,19-Apr-2013,0.003,0.003,0.003,0.003,0
AAP.AX,19-Apr-2013,0.009,0.009,0.009,0.009,0
AAR.AX,19-Apr-2013,0.005,0.005,0.004,0.004,950000
AAT.AX,19-Apr-2013,0.013,0.013,0.013,0.013,0
AAU.AX,19-Apr-2013,0.1,0.1,0.1,0.1,0
AAX.AX,19-Apr-2013,2.73,2.88,2.73,2.78,327744
ABC.AX,19-Apr-2013,3.28,3.33,3.21,3.3,1095023
ABCKOA.AX,19-Apr-2013,0.54,0.54,0.54,0.54,0
ABCKOP.AX,19-Apr-2013,1.545,1.545,1.545,1.545,0
ABP.AX,19-Apr-2013,2.17,2.2,2.17,2.2,833144
ABU.AX,19-Apr-2013,0.031,0.031,0.03,0.03,1922409
ABV.AX,19-Apr-2013,0.016,0.016,0.016,0.016,0
ABW.AX,19-Apr-2013,1.065,1.065,1.065,1.065,0
ABY.AX,19-Apr-2013,0.35,0.36,0.345,0.345,786075
ACB.AX,19-Apr-2013,0.09,0.09,0.086,0.09,117000
ACE.AX,19-Apr-2013,0.019,0.019,0.019,0.019,0
ACG.AX,19-Apr-2013,0.084,0.094,0.084,0.089,290486
ACK.AX,19-Apr-2013,0.155,0.155,0.155,0.155,0
ACL.AX,19-Apr-2013,0.335,0.34,0.33,0.33,335817
ACP.AX,19-Apr-2013,0.25,0.25,0.25,0.25,0
ACR.AX,19-Apr-2013,3.46,3.54,3.42,3.52,352843
ACS.AX,19-Apr-2013,0.185,0.185,0.185,0.185,0
ACU.AX,19-Apr-2013,0.001,0.001,0.001,0.001,0
ACW.AX,19-Apr-2013,0.011,0.011,0.011,0.011,0
ADA.AX,19-Apr-2013,0.365,0.365,0.365,0.365,0
ADD.AX,19-Apr-2013,0.008,0.008,0.008,0.008,141667
ADJ.AX,19-Apr-2013,0.029,0.029,0.028,0.028,150000
ADN.AX,19-Apr-2013,0.039,0.04,0.036,0.036,541106
ADO.AX,19-Apr-2013,0.053,0.055,0.053,0.055,25000
ADQ.AX,19-Apr-2013,0.047,0.047,0.047,0.047,100000
ADX.AX,19-Apr-2013,0.016,0.016,0.016,0.016,93585
ADY.AX,19-Apr-2013,0.031,0.031,0.031,0.031,226197
AEB.AX,19-Apr-2013,0.25,0.25,0.25,0.25,5000
AED.AX,19-Apr-2013,0.145,0.145,0.145,0.145,0
AEE.AX,19-Apr-2013,0.098,0.1,0.098,0.1,38580
AEF.AX,19-Apr-2013,20.3,20.3,20.1,20.1,273
AEI.AX,19-Apr-2013,0.155,0.155,0.155,0.155,0
AEJ.AX,19-Apr-2013,8.55,8.55,8.55,8.55,0
AES.AX,19-Apr-2013,0.035,0.035,0.035,0.035,0
AFA.AX,19-Apr-2013,0.21,0.21,0.21,0.21,0
AFI.AX,19-Apr-2013,5.4,5.42,5.35,5.4,239051
AFIG.AX,19-Apr-2013,115,115,114.6,114.9,1679
AFR.AX,19-Apr-2013,0.11,0.125,0.11,0.125,298467
AFT.AX,19-Apr-2013,0.001,0.001,0.001,0.001,0
AGD.AX,19-Apr-2013,0.14,0.14,0.14,0.14,0
AGE.AX,19-Apr-2013,0.035,0.035,0.035,0.035,50000
AGF.AX,19-Apr-2013,0.65,0.675,0.65,0.675,278318
AGG.AX,19-Apr-2013,3.5,3.55,3.5,3.54,8014
AGI.AX,19-Apr-2013,3.39,3.5,3.37,3.5,218092
AGJ.AX,19-Apr-2013,0.1,0.1,0.1,0.1,0
AGO.AX,19-Apr-2013,0.88,0.945,0.872,0.935,17369842
AGOKOS.AX,19-Apr-2013,0.83,0.83,0.83,0.83,0
AGOKOU.AX,19-Apr-2013,0.26,0.26,0.26,0.26,0
AGR.AX,19-Apr-2013,0.088,0.088,0.088,0.088,21857
AGS.AX,19-Apr-2013,0.15,0.17,0.145,0.16,258628
AGX.AX,19-Apr-2013,0.015,0.015,0.015,0.015,0
AGY.AX,19-Apr-2013,0.13,0.135,0.13,0.135,54500
AHD.AX,19-Apr-2013,8.13,8.14,8.06,8.12,89641
AHK.AX,19-Apr-2013,0.13,0.13,0.13,0.13,0
AHN.AX,19-Apr-2013,0.04,0.04,0.04,0.04,0
AHQ.AX,19-Apr-2013,0.04,0.04,0.04,0.04,70500
AHR.AX,19-Apr-2013,0.19,0.19,0.19,0.19,0
AHZ.AX,19-Apr-2013,0.028,0.028,0.028,0.028,306920
AIA.AX,19-Apr-2013,2.42,2.43,2.41,2.42,155041
AIB.AX,19-Apr-2013,1.03,1.03,1.03,1.03,0
AIK.AX,19-Apr-2013,0.055,0.055,0.055,0.055,0
AIO.AX,19-Apr-2013,5.06,5.2,5.06,5.19,6357549
AIOKOB.AX,19-Apr-2013,0.725,0.725,0.725,0.725,0
AIQ.AX,19-Apr-2013,0.31,0.31,0.31,0.31,33870
AIR.AX,19-Apr-2013,0.12,0.12,0.12,0.12,0
AIV.AX,19-Apr-2013,0.017,0.019,0.017,0.018,1102778
AIY.AX,19-Apr-2013,0.038,0.038,0.038,0.038,0
AIZ.AX,19-Apr-2013,1.195,1.195,1.19,1.19,10419
AJA.AX,19-Apr-2013,3.93,3.95,3.89,3.95,135310
AJC.AX,19-Apr-2013,0.014,0.014,0.013,0.013,4083002
AJJ.AX,19-Apr-2013,0.14,0.14,0.14,0.14,55000
AJL.AX,19-Apr-2013,1.3,1.3,1.24,1.29,63145
AJM.AX,19-Apr-2013,0.13,0.13,0.13,0.13,0
AJO.AX,19-Apr-2013,1.79,1.79,1.79,1.79,0
AJQ.AX,19-Apr-2013,0.215,0.23,0.2,0.21,249673
AJX.AX,19-Apr-2013,0.075,0.075,0.075,0.075,0
AJY.AX,19-Apr-2013,0.225,0.225,0.225,0.225,0
AKF.AX,19-Apr-2013,0.135,0.135,0.135,0.135,0
AKG.AX,19-Apr-2013,0.66,0.66,0.66,0.66,0
AKK.AX,19-Apr-2013,0.014,0.014,0.013,0.013,1606216
