Symbol,Date,Open,High,Low,Close,Volume
AAA.AX,18-Apr-2013,50.18,50.18,50.17,50.17,4111
AAC.AX,18-Apr-2013,1.185,1.185,1.157,1.18,100740
AAD.AX,18-Apr-2013,1.49,1.49,1.457,1.46,753336
AAI.AX,18-Apr-2013,7.95,7.95,7.95,7.95,0
AAJ.AX,18-Apr-2013,0.055,0.055,0.055,0.055,0
AAK.AX,18-Apr-2013,0.001,0.001,0.001,0.001,950000
AAL.AX,18-Apr-2013,0.003,0.003,0.003,0.003,0
AAP.AX,18-Apr-2013,0.009,0.009,0.009,0.009,0
AAR.AX,18-Apr-2013,0.005,0.005,0.005,0.005,400000
AAT.AX,18-Apr-2013,0.013,0.013,0.013,0.013,0
AAU.AX,18-Apr-2013,0.1,0.1,0.1,0.1,0
AAX.AX,18-Apr-2013,2.82,2.84,2.73,2.74,304517
ABC.AX,18-Apr-2013,3.31,3.32,3.21,3.25,2544990
ABCKOA.AX,18-Apr-2013,0.54,0.54,0.54,0.54,0
ABCKOP.AX,18-Apr-2013,1.545,1.545,1.545,1.545,0
ABP.AX,18-Apr-2013,2.22,2.24,2.19,2.19,385790
ABU.AX,18-Apr-2013,0.032,0.032,0.029,0.03,14825328
ABV.AX,18-Apr-2013,0.016,0.016,0.016,0.016,0
ABW.AX,18-Apr-2013,1.065,1.065,1.065,1.065,0
ABY.AX,18-Apr-2013,0.375,0.375,0.355,0.36,1848218
ACB.AX,18-Apr-2013,0.089,0.089,0.085,0.085,290498
ACE.AX,18-Apr-2013,0.019,0.019,0.019,0.019,0
ACG.AX,18-Apr-2013,0.084,0.084,0.082,0.082,141949
ACK.AX,18-Apr-2013,0.155,0.155,0.155,0.155,0
ACL.AX,18-Apr-2013,0.34,0.34,0.33,0.335,334331
ACP.AX,18-Apr-2013,0.25,0.25,0.25,0.25,0
ACR.AX,18-Apr-2013,3.49,3.5,3.25,3.45,495522
ACS.AX,18-Apr-2013,0.185,0.185,0.185,0.185,0
ACU.AX,18-Apr-2013,0.001,0.001,0.001,0.001,0
ACW.AX,18-Apr-2013,0.011,0.011,0.011,0.011,0
ADA.AX,18-Apr-2013,0.365,0.365,0.365,0.365,0
ADD.AX,18-Apr-2013,0.007,0.007,0.007,0.007,0
ADJ.AX,18-Apr-2013,0.03,0.03,0.028,0.029,1392500
ADN.AX,18-Apr-2013,0.04,0.046,0.036,0.036,1139578
ADO.AX,18-Apr-2013,0.056,0.056,0.052,0.055,805615
ADQ.AX,18-Apr-2013,0.047,0.047,0.047,0.047,0
ADX.AX,18-Apr-2013,0.015,0.016,0.015,0.016,68415
ADY.AX,18-Apr-2013,0.031,0.031,0.031,0.031,14287
AEB.AX,18-Apr-2013,0.25,0.25,0.24,0.24,51395
AED.AX,18-Apr-2013,0.145,0.145,0.145,0.145,0
AEE.AX,18-Apr-2013,0.1,0.1,0.1,0.1,216063
AEF.AX,18-Apr-2013,22,22,22,22,0
AEI.AX,18-Apr-2013,0.155,0.155,0.155,0.155,0
AEJ.AX,18-Apr-2013,8.55,8.55,8.55,8.55,0
AES.AX,18-Apr-2013,0.035,0.035,0.035,0.035,0
AFA.AX,18-Apr-2013,0.21,0.21,0.21,0.21,5227
AFI.AX,18-Apr-2013,5.39,5.39,5.35,5.35,226249
AFIG.AX,18-Apr-2013,115,115,115,115,500
AFR.AX,18-Apr-2013,0.105,0.115,0.105,0.11,223863
AFT.AX,18-Apr-2013,0.001,0.001,0.001,0.001,0
AGD.AX,18-Apr-2013,0.14,0.14,0.14,0.14,0
AGE.AX,18-Apr-2013,0.048,0.048,0.048,0.048,0
AGF.AX,18-Apr-2013,0.655,0.66,0.65,0.66,497017
AGG.AX,18-Apr-2013,3.45,3.45,3.38,3.38,34374
AGI.AX,18-Apr-2013,3.45,3.49,3.39,3.39,99551
AGJ.AX,18-Apr-2013,0.1,0.1,0.1,0.1,0
AGO.AX,18-Apr-2013,0.945,0.945,0.855,0.865,32674248
AGOKOS.AX,18-Apr-2013,0.83,0.83,0.83,0.83,0
AGOKOU.AX,18-Apr-2013,0.26,0.26,0.26,0.26,0
AGR.AX,18-Apr-2013,0.095,0.095,0.095,0.095,0
AGS.AX,18-Apr-2013,0.155,0.155,0.145,0.15,232400
AGX.AX,18-Apr-2013,0.015,0.015,0.015,0.015,762597
AGY.AX,18-Apr-2013,0.125,0.125,0.125,0.125,17858
AHD.AX,18-Apr-2013,8.16,8.17,8.05,8.06,26348
AHK.AX,18-Apr-2013,0.13,0.13,0.13,0.13,0
AHN.AX,18-Apr-2013,0.04,0.04,0.04,0.04,0
AHQ.AX,18-Apr-2013,0.04,0.04,0.04,0.04,48500
AHR.AX,18-Apr-2013,0.19,0.19,0.19,0.19,0
AHZ.AX,18-Apr-2013,0.028,0.029,0.027,0.027,689857
AIA.AX,18-Apr-2013,2.43,2.43,2.4,2.43,109075
AIB.AX,18-Apr-2013,1.03,1.03,1.03,1.03,0
AIK.AX,18-Apr-2013,0.055,0.055,0.055,0.055,0
AIO.AX,18-Apr-2013,5.24,5.245,4.97,5.06,4564226
AIOKOB.AX,18-Apr-2013,0.725,0.725,0.725,0.725,0
AIQ.AX,18-Apr-2013,0.31,0.31,0.31,0.31,3085
AIR.AX,18-Apr-2013,0.12,0.12,0.12,0.12,0
AIV.AX,18-Apr-2013,0.018,0.018,0.018,0.018,3600000
AIY.AX,18-Apr-2013,0.038,0.038,0.038,0.038,3750
AIZ.AX,18-Apr-2013,1.2,1.2,1.2,1.2,0
AJA.AX,18-Apr-2013,3.9,3.93,3.9,3.93,78226
AJC.AX,18-Apr-2013,0.014,0.014,0.014,0.014,443643
AJJ.AX,18-Apr-2013,0.125,0.125,0.125,0.125,0
AJL.AX,18-Apr-2013,1.315,1.35,1.3,1.3,38197
AJM.AX,18-Apr-2013,0.135,0.135,0.13,0.13,799600
AJO.AX,18-Apr-2013,1.79,1.79,1.79,1.79,0
AJQ.AX,18-Apr-2013,0.24,0.24,0.21,0.21,519488
AJX.AX,18-Apr-2013,0.075,0.075,0.075,0.075,0
AJY.AX,18-Apr-2013,0.225,0.225,0.225,0.225,0
AKF.AX,18-Apr-2013,0.145,0.145,0.135,0.135,249999
AKG.AX,18-Apr-2013,0.65,0.66,0.65,0.66,81677
AKK.AX,18-Apr-2013,0.015,0.015,0.014,0.014,3225842
AKM.AX,18-Apr-2013,0.064,0.064,0.061,0.061,398062
AKP.AX,18-Apr-2013,3.27,3.27,3.26,3.26,1500
AKY.AX,18-Apr-2013,81.67,81.67,81.67,81.67,70
ALF.AX,18-Apr-2013,1.5,1.505,1.49,1.49,355689
ALK.AX,18-Apr-2013,0.49,0.505,0.48,0.49,397421
ALL.AX,18-Apr-2013,3.7,3.7,3.57,3.58,1591474
ALLKOB.AX,18-Apr-2013,0.57,0.57,0.57,0.57,0
ALLKOD.AX,18-Apr-2013,1.665,1.665,1.665,1.665,0
ALQ.AX,18-Apr-2013,9.25,9.37,9.13,9.19,4638218
ALQKOB.AX,18-Apr-2013,4.27,4.27,4.27,4.27,0
ALQKOC.AX,18-Apr-2013,5.29,5.29,5.29,5.29,0
ALQKOP.AX,18-Apr-2013,2.53,2.64,2.53,2.64,31200
ALQKOT.AX,18-Apr-2013,2.75,2.75,2.75,2.75,0
ALQKOU.AX,18-Apr-2013,5.36,5.36,5.36,5.36,500
ALR.AX,18-Apr-2013,1.22,1.24,1.22,1.24,22000
ALT.AX,18-Apr-2013,0.023,0.023,0.023,0.023,0
ALTOA.AX,18-Apr-2013,0.001,0.001,0.001,0.001,0
ALU.AX,18-Apr-2013,1.395,1.4,1.38,1.38,30241
ALY.AX,18-Apr-2013,0.066,0.066,0.066,0.066,0
AMA.AX,18-Apr-2013,0.36,0.36,0.36,0.36,0
AMB.AX,18-Apr-2013,0.19,0.19,0.19,0.19,0
AMC.AX,18-Apr-2013,9.37,9.39,9.12,9.13,4135977
AMCKOB.AX,18-Apr-2013,2.06,2.06,2.06,2.06,0
