Symbol,Date,Open,High,Low,Close,Volume
AAA.AX,21-Nov-2013,50.17,50.18,50.16,50.18,112199
AAC.AX,21-Nov-2013,1.15,1.165,1.14,1.16,226502
AAD.AX,21-Nov-2013,1.98,1.99,1.96,1.98,1055477
AAI.AX,21-Nov-2013,8,8,8,8,0
AAJ.AX,21-Nov-2013,0.02,0.02,0.02,0.02,0
AAK.AX,21-Nov-2013,0.001,0.001,0.001,0.001,0
AAL.AX,21-Nov-2013,0.004,0.004,0.004,0.004,0
AAP.AX,21-Nov-2013,0.014,0.014,0.014,0.014,0
AAR.AX,21-Nov-2013,0.003,0.003,0.003,0.003,0
AAT.AX,21-Nov-2013,0.013,0.013,0.013,0.013,0
AAU.AX,21-Nov-2013,0.068,0.068,0.068,0.068,0
AAX.AX,21-Nov-2013,1.26,1.27,1.21,1.24,168993
ABC.AX,21-Nov-2013,3.76,3.795,3.755,3.78,1209978
ABCKOA.AX,21-Nov-2013,0.66,0.66,0.66,0.66,0
ABCKOP.AX,21-Nov-2013,1.1,1.1,1.1,1.1,0
ABP.AX,21-Nov-2013,2.25,2.26,2.24,2.25,714721
ABU.AX,21-Nov-2013,0.024,0.024,0.023,0.024,2899496
ABV.AX,21-Nov-2013,0.016,0.016,0.016,0.016,35000
ABW.AX,21-Nov-2013,1.07,1.07,1.07,1.07,0
ABY.AX,21-Nov-2013,0.335,0.345,0.335,0.345,57559
ACB.AX,21-Nov-2013,0.048,0.048,0.048,0.048,5000
ACE.AX,21-Nov-2013,0.019,0.019,0.019,0.019,0
ACG.AX,21-Nov-2013,0.195,0.2,0.19,0.19,966800
ACK.AX,21-Nov-2013,0.22,0.22,0.22,0.22,3750
ACL.AX,21-Nov-2013,0.615,0.615,0.6,0.6,502807
ACP.AX,21-Nov-2013,0.05,0.05,0.05,0.05,0
ACR.AX,21-Nov-2013,2.5,2.52,2.4,2.46,720318
ACS.AX,21-Nov-2013,0.2,0.2,0.2,0.2,0
ACU.AX,21-Nov-2013,0.001,0.001,0.001,0.001,0
ACW.AX,21-Nov-2013,0.015,0.015,0.015,0.015,0
ADA.AX,21-Nov-2013,0.515,0.515,0.515,0.515,0
ADD.AX,21-Nov-2013,0.002,0.002,0.002,0.002,126104
ADJ.AX,21-Nov-2013,0.11,0.115,0.105,0.105,3696468
ADN.AX,21-Nov-2013,0.058,0.058,0.058,0.058,43184
ADO.AX,21-Nov-2013,0.12,0.125,0.12,0.12,3800018
ADQ.AX,21-Nov-2013,0.013,0.013,0.011,0.012,2153394
ADX.AX,21-Nov-2013,0.016,0.016,0.016,0.016,520999
ADY.AX,21-Nov-2013,0.018,0.018,0.018,0.018,19285
AEB.AX,21-Nov-2013,0.12,0.125,0.12,0.12,46600
AED.AX,21-Nov-2013,0.145,0.145,0.145,0.145,0
AEE.AX,21-Nov-2013,0.048,0.048,0.048,0.048,20000
AEF.AX,21-Nov-2013,26.5,26.5,26.5,26.5,0
AEI.AX,21-Nov-2013,0.15,0.15,0.15,0.15,0
AEJ.AX,21-Nov-2013,8,8,8,8,0
AES.AX,21-Nov-2013,0.035,0.035,0.035,0.035,0
AFA.AX,21-Nov-2013,0.12,0.12,0.12,0.12,0
AFI.AX,21-Nov-2013,5.95,6.01,5.93,6.01,326762
AFIG.AX,21-Nov-2013,117,117,117,117,166
AFR.AX,21-Nov-2013,0.13,0.13,0.12,0.12,378500
AFT.AX,21-Nov-2013,0.001,0.001,0.001,0.001,0
AGD.AX,21-Nov-2013,0.17,0.17,0.17,0.17,0
AGE.AX,21-Nov-2013,0.072,0.072,0.072,0.072,11500
AGF.AX,21-Nov-2013,0.81,0.83,0.81,0.815,1701108
AGG.AX,21-Nov-2013,2.85,2.91,2.82,2.91,5720
AGI.AX,21-Nov-2013,4.71,4.71,4.445,4.65,515089
AGJ.AX,21-Nov-2013,0.076,0.076,0.076,0.076,7802
AGO.AX,21-Nov-2013,1.17,1.187,1.157,1.165,11050432
AGOKOS.AX,21-Nov-2013,0.83,0.83,0.83,0.83,0
AGOKOU.AX,21-Nov-2013,0.325,0.325,0.325,0.325,0
AGOKOV.AX,21-Nov-2013,0.175,0.175,0.175,0.175,0
AGR.AX,21-Nov-2013,0.05,0.05,0.05,0.05,0
AGS.AX,21-Nov-2013,0.125,0.125,0.12,0.12,106452
AGX.AX,21-Nov-2013,0.022,0.022,0.022,0.022,0
AGY.AX,21-Nov-2013,0.025,0.025,0.025,0.025,0
AHD.AX,21-Nov-2013,8.1,8.22,8.1,8.21,309960
AHK.AX,21-Nov-2013,0.095,0.095,0.095,0.095,0
AHN.AX,21-Nov-2013,0.033,0.033,0.03,0.03,100000
AHQ.AX,21-Nov-2013,0.03,0.03,0.03,0.03,107000
AHR.AX,21-Nov-2013,0.19,0.19,0.19,0.19,0
AHZ.AX,21-Nov-2013,0.165,0.165,0.15,0.15,13084017
AIA.AX,21-Nov-2013,2.98,3.03,2.97,3.01,102760
AIB.AX,21-Nov-2013,0.935,0.935,0.935,0.935,12000
AIK.AX,21-Nov-2013,0.075,0.075,0.075,0.075,0
AIO.AX,21-Nov-2013,5.67,5.81,5.66,5.8,4330165
AIOKOB.AX,21-Nov-2013,0.895,0.895,0.895,0.895,0
AIOKOR.AX,21-Nov-2013,1.495,1.495,1.495,1.495,0
AIQ.AX,21-Nov-2013,0.19,0.19,0.19,0.19,0
AIR.AX,21-Nov-2013,0.11,0.11,0.11,0.11,0
AIV.AX,21-Nov-2013,0.012,0.012,0.012,0.012,170000
AIY.AX,21-Nov-2013,0.025,0.025,0.025,0.025,0
AIZ.AX,21-Nov-2013,1.42,1.42,1.3,1.36,14377
AJA.AX,21-Nov-2013,3.55,3.55,3.515,3.53,75174
AJC.AX,21-Nov-2013,0.013,0.013,0.013,0.013,400000
AJD.AX,21-Nov-2013,1.07,1.09,1.07,1.07,1920527
AJJ.AX,21-Nov-2013,0.1,0.1,0.1,0.1,0
AJL.AX,21-Nov-2013,0.875,0.895,0.87,0.895,17010
AJM.AX,21-Nov-2013,0.13,0.13,0.13,0.13,66400
AJO.AX,21-Nov-2013,1.79,1.79,1.79,1.79,0
AJQ.AX,21-Nov-2013,0.23,0.23,0.225,0.225,63500
AJR.AX,21-Nov-2013,0.007,0.007,0.007,0.007,0
AJX.AX,21-Nov-2013,0.165,0.165,0.16,0.16,122000
AJY.AX,21-Nov-2013,0.245,0.245,0.245,0.245,0
AKF.AX,21-Nov-2013,0.185,0.185,0.185,0.185,0
AKG.AX,21-Nov-2013,1.1,1.1,1.1,1.1,42000
AKK.AX,21-Nov-2013,0.01,0.011,0.01,0.01,1261393
AKM.AX,21-Nov-2013,0.075,0.079,0.075,0.075,295100
AKP.AX,21-Nov-2013,4.48,4.48,4.36,4.36,9030
AKY.AX,21-Nov-2013,80.85,80.85,80.85,80.85,0
ALF.AX,21-Nov-2013,1.65,1.655,1.635,1.635,324299
ALK.AX,21-Nov-2013,0.36,0.37,0.36,0.36,81540
ALL.AX,21-Nov-2013,4.6,4.825,4.6,4.8,2292097
ALLKOA.AX,21-Nov-2013,0.42,0.42,0.42,0.42,60000
ALLKOD.AX,21-Nov-2013,2.42,2.42,2.42,2.42,0
ALQ.AX,21-Nov-2013,9.09,9.23,8.94,9.17,997393
ALQKOB.AX,21-Nov-2013,1.75,1.75,1.75,1.75,0
ALR.AX,21-Nov-2013,1.3,1.32,1.3,1.32,17325
ALT.AX,21-Nov-2013,0.03,0.031,0.028,0.028,3636494
ALU.AX,21-Nov-2013,2.4,2.46,2.4,2.43,29965
ALY.AX,21-Nov-2013,0.041,0.041,0.041,0.041,0
AMA.AX,21-Nov-2013,0.36,0.365,0.36,0.36,102431
AMB.AX,21-Nov-2013,0.19,0.19,0.19,0.19,0
AMC.AX,21-Nov-2013,10.97,11.01,10.9,10.95,4029914
AMCKOC.AX,21-Nov-2013,1.51,1.51,1.51,1.51,0
AMCKOQ.AX,21-Nov-2013,2.08,2.08,2.08,2.08,0
AMH.AX,21-Nov-2013,0.945,0.95,0.93,0.93,124645
AMI.AX,21-Nov-2013,0.23,0.25,0.22,0.23,378100
AMO.AX,21-Nov-2013,0.2,0.2,0.2,0.2,0
AMP.AX,21-Nov-2013,4.57,4.615,4.57,4.58,5870984
AMPKOA.AX,21-Nov-2013,0.97,0.97,0.97,0.97,0
AMPKOB.AX,21-Nov-2013,0.535,0.535,0.535,0.535,0
AMPKOV.AX,21-Nov-2013,0.87,0.87,0.87,0.87,0
AMPLOC.AX,21-Nov-2013,0.69,0.69,0.69,0.69,0
AMPLOE.AX,21-Nov-2013,0.6,0.6,0.6,0.6,0
AMPLOR.AX,21-Nov-2013,0.605,0.605,0.605,0.605,0
AMT.AX,21-Nov-2013,0.05,0.05,0.05,0.05,0
ANB.AX,21-Nov-2013,0.24,0.24,0.24,0.24,0
ANG.AX,21-Nov-2013,3.45,3.45,3.36,3.36,152586
ANI.AX,21-Nov-2013,2.07,2.07,2.065,2.065,97781
ANN.AX,21-Nov-2013,19.1,19.43,19.07,19.36,516328
ANNKOC.AX,21-Nov-2013,3.14,3.14,2.9,2.9,19000
ANNKOP.AX,21-Nov-2013,5,5,5,5,0
ANO.AX,21-Nov-2013,0.01,0.01,0.01,0.01,4600000
ANP.AX,21-Nov-2013,0.17,0.17,0.16,0.16,223780
ANQ.AX,21-Nov-2013,0.011,0.011,0.01,0.01,3594400
ANW.AX,21-Nov-2013,0.009,0.009,0.009,0.009,200000
ANZ.AX,21-Nov-2013,31.42,31.7,31.35,31.46,5222037
ANZHA.AX,21-Nov-2013,103.25,103.675,103.2,103.2,16738
ANZKOA.AX,21-Nov-2013,1.765,1.765,1.765,1.765,0
ANZKOD.AX,21-Nov-2013,3.34,3.34,3.34,3.34,0
ANZKOE.AX,21-Nov-2013,2.45,2.45,2.45,2.45,0
ANZKOF.AX,21-Nov-2013,3.51,3.51,3.51,3.51,0
ANZKOP.AX,21-Nov-2013,4.18,4.18,4.18,4.18,0
ANZKOQ.AX,21-Nov-2013,6.71,6.71,6.71,6.71,0
ANZKOR.AX,21-Nov-2013,3.33,3.33,3.33,3.33,0
ANZKOT.AX,21-Nov-2013,2.07,2.07,2.07,2.07,0
ANZKOU.AX,21-Nov-2013,6.55,6.55,6.55,6.55,0
ANZKOV.AX,21-Nov-2013,2.36,2.36,2.36,2.36,0
ANZKOY.AX,21-Nov-2013,4.32,4.32,4.32,4.32,0
ANZLOQ.AX,21-Nov-2013,3.9,3.9,3.9,3.9,0
ANZLOR.AX,21-Nov-2013,3.39,3.4,3.23,3.32,71000
ANZLOS.AX,21-Nov-2013,0.68,0.68,0.68,0.68,0
ANZLOT.AX,21-Nov-2013,3.05,3.05,3.05,3.05,0
ANZPA.AX,21-Nov-2013,101.62,101.84,101.3,101.45,12822
ANZPC.AX,21-Nov-2013,101.2,101.28,101,101.1,9275
