Symbol,Date,Open,High,Low,Close,Volume
AAA.AX,15-Oct-2013,50.15,50.16,50.14,50.16,40282
AAC.AX,15-Oct-2013,1.125,1.135,1.115,1.125,287189
AAD.AX,15-Oct-2013,1.885,1.92,1.885,1.905,885887
AAI.AX,15-Oct-2013,7.9,7.9,7.9,7.9,0
AAJ.AX,15-Oct-2013,0.022,0.022,0.022,0.022,0
AAK.AX,15-Oct-2013,0.001,0.001,0.001,0.001,0
AAL.AX,15-Oct-2013,0.003,0.003,0.003,0.003,0
AAP.AX,15-Oct-2013,0.01,0.01,0.008,0.008,1000000
AAR.AX,15-Oct-2013,0.005,0.005,0.005,0.005,0
AAT.AX,15-Oct-2013,0.013,0.013,0.013,0.013,0
AAU.AX,15-Oct-2013,0.072,0.072,0.072,0.072,0
AAX.AX,15-Oct-2013,1.605,1.65,1.605,1.64,40167
ABC.AX,15-Oct-2013,3.62,3.66,3.61,3.66,1184010
ABCKOA.AX,15-Oct-2013,0.81,0.81,0.81,0.81,0
ABCKOP.AX,15-Oct-2013,1.1,1.1,1.1,1.1,0
ABP.AX,15-Oct-2013,2.28,2.29,2.25,2.27,386082
ABU.AX,15-Oct-2013,0.028,0.028,0.027,0.027,1766749
ABV.AX,15-Oct-2013,0.015,0.015,0.015,0.015,0
ABW.AX,15-Oct-2013,1.065,1.065,1.065,1.065,100943
ABY.AX,15-Oct-2013,0.34,0.345,0.34,0.345,16438
ACB.AX,15-Oct-2013,0.05,0.051,0.05,0.051,56043
ACE.AX,15-Oct-2013,0.019,0.019,0.019,0.019,0
ACG.AX,15-Oct-2013,0.18,0.195,0.18,0.195,1272770
ACK.AX,15-Oct-2013,0.23,0.23,0.23,0.23,0
ACL.AX,15-Oct-2013,0.64,0.64,0.615,0.62,178319
ACP.AX,15-Oct-2013,0.05,0.05,0.05,0.05,0
ACR.AX,15-Oct-2013,3.13,3.14,3.08,3.09,447200
ACS.AX,15-Oct-2013,0.22,0.22,0.22,0.22,0
ACU.AX,15-Oct-2013,0.001,0.001,0.001,0.001,0
ACW.AX,15-Oct-2013,0.007,0.007,0.007,0.007,12000
ADA.AX,15-Oct-2013,0.52,0.54,0.52,0.52,60581
ADD.AX,15-Oct-2013,0.003,0.003,0.003,0.003,0
ADJ.AX,15-Oct-2013,0.083,0.1,0.083,0.085,7104631
ADN.AX,15-Oct-2013,0.061,0.062,0.061,0.062,135631
ADO.AX,15-Oct-2013,0.057,0.057,0.056,0.056,233215
ADQ.AX,15-Oct-2013,0.017,0.017,0.017,0.017,65000
ADX.AX,15-Oct-2013,0.017,0.017,0.017,0.017,0
ADY.AX,15-Oct-2013,0.018,0.018,0.018,0.018,29520
AEB.AX,15-Oct-2013,0.17,0.17,0.165,0.17,19200
AED.AX,15-Oct-2013,0.145,0.145,0.145,0.145,0
AEE.AX,15-Oct-2013,0.052,0.052,0.052,0.052,0
AEF.AX,15-Oct-2013,21.55,21.55,21.55,21.55,268
AEI.AX,15-Oct-2013,0.15,0.15,0.15,0.15,0
AEJ.AX,15-Oct-2013,8,8,8,8,0
AES.AX,15-Oct-2013,0.035,0.035,0.035,0.035,0
AFA.AX,15-Oct-2013,0.17,0.185,0.17,0.185,8146
AFI.AX,15-Oct-2013,5.82,5.87,5.82,5.82,253413
AFIG.AX,15-Oct-2013,116.65,116.65,116.65,116.65,0
AFR.AX,15-Oct-2013,0.092,0.095,0.092,0.095,145380
AFT.AX,15-Oct-2013,0.001,0.001,0.001,0.001,0
AGD.AX,15-Oct-2013,0.17,0.17,0.17,0.17,0
AGE.AX,15-Oct-2013,0.065,0.065,0.064,0.064,12250
AGF.AX,15-Oct-2013,0.77,0.77,0.765,0.765,165924
AGG.AX,15-Oct-2013,2.77,2.77,2.77,2.77,0
AGI.AX,15-Oct-2013,4.22,4.315,4.22,4.3,61995
AGJ.AX,15-Oct-2013,0.09,0.09,0.09,0.09,0
AGO.AX,15-Oct-2013,0.98,1.01,0.97,0.99,18208729
AGOKOS.AX,15-Oct-2013,0.83,0.83,0.83,0.83,0
AGOKOU.AX,15-Oct-2013,0.325,0.325,0.325,0.325,0
AGOKOV.AX,15-Oct-2013,0.35,0.35,0.35,0.35,7000
AGR.AX,15-Oct-2013,0.068,0.068,0.068,0.068,101500
AGS.AX,15-Oct-2013,0.14,0.14,0.14,0.14,21666
AGX.AX,15-Oct-2013,0.019,0.021,0.018,0.021,332450
AGY.AX,15-Oct-2013,0.025,0.025,0.025,0.025,0
AHD.AX,15-Oct-2013,8.13,8.2,8.13,8.2,509306
AHK.AX,15-Oct-2013,0.095,0.095,0.095,0.095,0
AHN.AX,15-Oct-2013,0.03,0.03,0.03,0.03,0
