Symbol,Date,Open,High,Low,Close,Volume
AAA.AX,03-Jun-2013,50.1,50.1,50.08,50.1,148422
AAC.AX,03-Jun-2013,1.1,1.12,1.1,1.11,138470
AAD.AX,03-Jun-2013,1.665,1.69,1.66,1.665,449278
AAI.AX,03-Jun-2013,8.75,8.75,8.75,8.75,0
AAJ.AX,03-Jun-2013,0.039,0.039,0.039,0.039,0
AAK.AX,03-Jun-2013,0.001,0.001,0.001,0.001,0
AAL.AX,03-Jun-2013,0.002,0.002,0.002,0.002,0
AAP.AX,03-Jun-2013,0.01,0.01,0.01,0.01,7500
AAR.AX,03-Jun-2013,0.004,0.004,0.004,0.004,289000
AAT.AX,03-Jun-2013,0.013,0.013,0.013,0.013,0
AAU.AX,03-Jun-2013,0.105,0.105,0.105,0.105,0
AAX.AX,03-Jun-2013,2.14,2.25,2.14,2.21,273562
ABC.AX,03-Jun-2013,3.31,3.35,3.3,3.35,709758
ABCKOA.AX,03-Jun-2013,0.925,0.925,0.925,0.925,0
ABCKOP.AX,03-Jun-2013,1.545,1.545,1.545,1.545,0
ABP.AX,03-Jun-2013,2.35,2.37,2.32,2.35,395368
ABU.AX,03-Jun-2013,0.028,0.028,0.028,0.028,6991467
ABV.AX,03-Jun-2013,0.015,0.015,0.015,0.015,134000
ABW.AX,03-Jun-2013,1.08,1.08,1.08,1.08,77350
ABY.AX,03-Jun-2013,0.4,0.405,0.39,0.405,23203462
ACB.AX,03-Jun-2013,0.05,0.05,0.049,0.049,114577
ACE.AX,03-Jun-2013,0.019,0.019,0.019,0.019,0
ACG.AX,03-Jun-2013,0.071,0.071,0.071,0.071,0
ACK.AX,03-Jun-2013,0.16,0.16,0.16,0.16,0
ACL.AX,03-Jun-2013,0.36,0.365,0.36,0.36,535585
ACP.AX,03-Jun-2013,0.25,0.25,0.25,0.25,0
ACR.AX,03-Jun-2013,3.82,3.84,3.75,3.79,671306
ACS.AX,03-Jun-2013,0.19,0.19,0.19,0.19,0
ACU.AX,03-Jun-2013,0.001,0.001,0.001,0.001,0
ACW.AX,03-Jun-2013,0.019,0.019,0.019,0.019,0
ADA.AX,03-Jun-2013,0.3,0.3,0.3,0.3,0
ADD.AX,03-Jun-2013,0.004,0.004,0.004,0.004,500000
ADJ.AX,03-Jun-2013,0.045,0.046,0.045,0.046,210025
ADN.AX,03-Jun-2013,0.081,0.084,0.079,0.082,788792
ADO.AX,03-Jun-2013,0.06,0.061,0.058,0.06,475815
ADQ.AX,03-Jun-2013,0.022,0.022,0.022,0.022,0
ADX.AX,03-Jun-2013,0.014,0.015,0.014,0.015,61000
ADY.AX,03-Jun-2013,0.03,0.03,0.03,0.03,333334
AEB.AX,03-Jun-2013,0.19,0.19,0.19,0.19,80058
AED.AX,03-Jun-2013,0.145,0.145,0.145,0.145,0
AEE.AX,03-Jun-2013,0.08,0.08,0.08,0.08,18999
AEF.AX,03-Jun-2013,21.2,21.2,21.2,21.2,0
AEI.AX,03-Jun-2013,0.205,0.205,0.205,0.205,0
AEJ.AX,03-Jun-2013,8.25,8.25,8.25,8.25,0
AES.AX,03-Jun-2013,0.035,0.035,0.035,0.035,0
AFA.AX,03-Jun-2013,0.18,0.18,0.18,0.18,30000
AFI.AX,03-Jun-2013,5.44,5.5,5.41,5.48,245531
AFIG.AX,03-Jun-2013,115.9,115.99,115.9,115.99,1750
AFR.AX,03-Jun-2013,0.085,0.085,0.085,0.085,0
AFT.AX,03-Jun-2013,0.001,0.001,0.001,0.001,0
AGD.AX,03-Jun-2013,0.14,0.14,0.14,0.14,1000
AGE.AX,03-Jun-2013,0.032,0.032,0.032,0.032,250000
AGF.AX,03-Jun-2013,0.725,0.725,0.7,0.72,457693
AGG.AX,03-Jun-2013,3.45,3.7,3.45,3.7,1100
AGI.AX,03-Jun-2013,3.59,3.6,3.49,3.49,374006
AGJ.AX,03-Jun-2013,0.09,0.09,0.09,0.09,0
AGO.AX,03-Jun-2013,0.78,0.79,0.75,0.765,6707071
AGOKOS.AX,03-Jun-2013,0.83,0.83,0.83,0.83,0
AGOKOU.AX,03-Jun-2013,0.26,0.26,0.26,0.26,0
AGR.AX,03-Jun-2013,0.06,0.06,0.06,0.06,0
AGS.AX,03-Jun-2013,0.13,0.13,0.13,0.13,10000
AGX.AX,03-Jun-2013,0.034,0.034,0.031,0.034,34242
AGY.AX,03-Jun-2013,0.061,0.061,0.061,0.061,0
AHD.AX,03-Jun-2013,8.5,8.51,8.43,8.46,71759
AHK.AX,03-Jun-2013,0.115,0.115,0.115,0.115,0
AHN.AX,03-Jun-2013,0.03,0.03,0.03,0.03,0
AHQ.AX,03-Jun-2013,0.022,0.022,0.022,0.022,0
AHR.AX,03-Jun-2013,0.19,0.19,0.19,0.19,0
AHZ.AX,03-Jun-2013,0.041,0.046,0.04,0.042,11034496
AIA.AX,03-Jun-2013,2.52,2.53,2.48,2.53,33535
AIB.AX,03-Jun-2013,1.035,1.035,1.035,1.035,0
AIK.AX,03-Jun-2013,0.049,0.049,0.049,0.049,0
AIO.AX,03-Jun-2013,5.08,5.09,4.91,4.91,2519314
AIOKOB.AX,03-Jun-2013,0.715,0.715,0.715,0.715,0
AIQ.AX,03-Jun-2013,0.28,0.28,0.28,0.28,2534
AIR.AX,03-Jun-2013,0.18,0.18,0.18,0.18,0
AIV.AX,03-Jun-2013,0.015,0.015,0.015,0.015,2449998
AIY.AX,03-Jun-2013,0.038,0.038,0.038,0.038,0
AIZ.AX,03-Jun-2013,1.21,1.21,1.2,1.21,50702
AJA.AX,03-Jun-2013,3.5,3.5,3.29,3.35,88056
AJC.AX,03-Jun-2013,0.01,0.01,0.01,0.01,140000
AJD.AX,03-Jun-2013,1.15,1.15,1.15,1.15,582238
AJJ.AX,03-Jun-2013,0.18,0.18,0.18,0.18,0
AJL.AX,03-Jun-2013,1.4,1.4,1.4,1.4,0
AJM.AX,03-Jun-2013,0.1,0.1,0.1,0.1,8462
AJO.AX,03-Jun-2013,1.79,1.79,1.79,1.79,0
AJQ.AX,03-Jun-2013,0.265,0.27,0.265,0.27,32000
AJX.AX,03-Jun-2013,0.1,0.11,0.095,0.1,559434
AJY.AX,03-Jun-2013,0.235,0.235,0.235,0.235,0
AKF.AX,03-Jun-2013,0.145,0.145,0.145,0.145,200000
