Symbol,Date,Open,High,Low,Close,Volume
AAA.AX,10-Jan-2013,50.11,50.13,50.11,50.13,18224
AAC.AX,10-Jan-2013,1.16,1.16,1.14,1.14,340336
AAD.AX,10-Jan-2013,1.48,1.48,1.455,1.465,1954752
AAI.AX,10-Jan-2013,7.95,7.95,7.95,7.95,0
AAJ.AX,10-Jan-2013,0.064,0.069,0.064,0.069,310000
AAK.AX,10-Jan-2013,0.002,0.002,0.002,0.002,0
AAL.AX,10-Jan-2013,0.002,0.002,0.002,0.002,0
AAR.AX,10-Jan-2013,0.005,0.006,0.005,0.006,1214687
AAT.AX,10-Jan-2013,0.013,0.013,0.013,0.013,0
AAU.AX,10-Jan-2013,0.14,0.14,0.14,0.14,0
AAX.AX,10-Jan-2013,3.58,3.61,3.43,3.56,466227
ABC.AX,10-Jan-2013,3.27,3.29,3.24,3.27,1129944
ABP.AX,10-Jan-2013,2.18,2.2,2.15,2.16,388662
ABU.AX,10-Jan-2013,0.044,0.044,0.042,0.043,5440313
ABV.AX,10-Jan-2013,0.02,0.021,0.02,0.02,570727
ABW.AX,10-Jan-2013,1.065,1.065,1.065,1.065,6550
ABY.AX,10-Jan-2013,0.47,0.475,0.465,0.465,120326
ACB.AX,10-Jan-2013,0.11,0.11,0.11,0.11,2901
ACE.AX,10-Jan-2013,0.019,0.019,0.019,0.019,0
ACG.AX,10-Jan-2013,0.07,0.07,0.07,0.07,0
ACK.AX,10-Jan-2013,0.165,0.165,0.165,0.165,9000
ACL.AX,10-Jan-2013,0.38,0.38,0.365,0.37,281038
ACP.AX,10-Jan-2013,0.205,0.205,0.205,0.205,0
ACR.AX,10-Jan-2013,2.95,3,2.88,2.9,561278
ACS.AX,10-Jan-2013,0.2,0.2,0.2,0.2,0
ACU.AX,10-Jan-2013,0.001,0.001,0.001,0.001,0
ACW.AX,10-Jan-2013,0.01,0.01,0.01,0.01,0
ADA.AX,10-Jan-2013,0.36,0.36,0.36,0.36,0
ADD.AX,10-Jan-2013,0.016,0.016,0.016,0.016,0
ADJ.AX,10-Jan-2013,0.039,0.039,0.039,0.039,100000
ADN.AX,10-Jan-2013,0.053,0.053,0.053,0.053,10691
ADO.AX,10-Jan-2013,0.062,0.062,0.06,0.061,295562
ADQ.AX,10-Jan-2013,0.059,0.059,0.059,0.059,175000
ADX.AX,10-Jan-2013,0.019,0.019,0.018,0.018,1010000
ADY.AX,10-Jan-2013,0.032,0.032,0.032,0.032,6020
AEB.AX,10-Jan-2013,0.275,0.275,0.26,0.26,103961
AED.AX,10-Jan-2013,0.145,0.145,0.145,0.145,0
AEE.AX,10-Jan-2013,0.155,0.165,0.155,0.16,874395
AEF.AX,10-Jan-2013,21,21,19.3,19.3,745
AEI.AX,10-Jan-2013,0.17,0.17,0.17,0.17,0
AEJ.AX,10-Jan-2013,7.4,8.55,7.4,8.51,2666
AES.AX,10-Jan-2013,0.035,0.035,0.035,0.035,0
AFA.AX,10-Jan-2013,0.24,0.245,0.24,0.245,21500
AFI.AX,10-Jan-2013,5.21,5.3,5.2,5.28,336166
AFIG.AX,10-Jan-2013,114.8,114.8,114.3,114.8,1568
AFR.AX,10-Jan-2013,0.135,0.135,0.13,0.135,608290
AFT.AX,10-Jan-2013,0.001,0.001,0.001,0.001,0
AGD.AX,10-Jan-2013,0.17,0.17,0.17,0.17,0
AGE.AX,10-Jan-2013,0.084,0.084,0.084,0.084,6300
AGF.AX,10-Jan-2013,0.68,0.68,0.67,0.68,219254
AGG.AX,10-Jan-2013,5.6,5.6,5.5,5.5,13955
AGI.AX,10-Jan-2013,2.84,2.88,2.83,2.87,231042
AGJ.AX,10-Jan-2013,0.11,0.11,0.11,0.11,21240
AGO.AX,10-Jan-2013,1.76,1.775,1.685,1.73,13273865
AGOKOQ.AX,10-Jan-2013,0.375,0.375,0.375,0.375,0
AGOKOS.AX,10-Jan-2013,0.83,0.83,0.83,0.83,0
AGOKOU.AX,10-Jan-2013,0.26,0.26,0.26,0.26,0
AGR.AX,10-Jan-2013,0.145,0.145,0.145,0.145,0
AGS.AX,10-Jan-2013,0.205,0.22,0.205,0.215,164432
AGX.AX,10-Jan-2013,0.03,0.035,0.03,0.033,55500
AGY.AX,10-Jan-2013,0.087,0.087,0.087,0.087,6000
AHD.AX,10-Jan-2013,7.05,7.05,6.98,7.03,12612
AHK.AX,10-Jan-2013,0.07,0.07,0.07,0.07,0
AHN.AX,10-Jan-2013,0.04,0.04,0.04,0.04,0
AHQ.AX,10-Jan-2013,0.055,0.055,0.055,0.055,0
AHR.AX,10-Jan-2013,0.19,0.19,0.19,0.19,0
AHZ.AX,10-Jan-2013,0.024,0.024,0.021,0.022,9449718
AIA.AX,10-Jan-2013,2.16,2.16,2.16,2.16,0
AIB.AX,10-Jan-2013,1.01,1.01,1.01,1.01,0
AIK.AX,10-Jan-2013,0.047,0.047,0.047,0.047,0
AIO.AX,10-Jan-2013,4.79,4.82,4.72,4.8,1540701
AIOKOB.AX,10-Jan-2013,0.555,0.555,0.555,0.555,0
AIQ.AX,10-Jan-2013,0.41,0.41,0.41,0.41,50000
AIR.AX,10-Jan-2013,0.21,0.21,0.21,0.21,0
AIV.AX,10-Jan-2013,0.014,0.014,0.014,0.014,150000
AIY.AX,10-Jan-2013,0.1,0.1,0.092,0.1,71593
AIZ.AX,10-Jan-2013,1.055,1.055,1.045,1.045,15960
AJA.AX,10-Jan-2013,2.99,3,2.97,3,13027
AJC.AX,10-Jan-2013,0.019,0.019,0.019,0.019,1130474
AJJ.AX,10-Jan-2013,0.175,0.175,0.175,0.175,0
AJL.AX,10-Jan-2013,1.95,2,1.94,1.98,161483
AJM.AX,10-Jan-2013,0.185,0.185,0.185,0.185,28000
AJO.AX,10-Jan-2013,1.79,1.79,1.79,1.79,0
AJQ.AX,10-Jan-2013,0.29,0.32,0.29,0.32,1041543
AJX.AX,10-Jan-2013,0.055,0.055,0.055,0.055,5000
AJY.AX,10-Jan-2013,0.215,0.215,0.215,0.215,0
AKF.AX,10-Jan-2013,0.15,0.15,0.15,0.15,0
AKG.AX,10-Jan-2013,0.645,0.645,0.645,0.645,680
AKK.AX,10-Jan-2013,0.02,0.023,0.02,0.022,10711484
AKM.AX,10-Jan-2013,0.067,0.115,0.067,0.082,34631177
AKP.AX,10-Jan-2013,5.8,5.95,5.8,5.95,12677
AKY.AX,10-Jan-2013,80.4,80.4,80.4,80.4,390
ALF.AX,10-Jan-2013,1.39,1.39,1.39,1.39,19669
ALK.AX,10-Jan-2013,0.69,0.69,0.675,0.69,50464
ALL.AX,10-Jan-2013,3.37,3.39,3.345,3.36,1817406
ALLKOB.AX,10-Jan-2013,1.06,1.06,1.06,1.06,0
ALLKOD.AX,10-Jan-2013,1.275,1.275,1.275,1.275,0
ALQ.AX,10-Jan-2013,10.53,10.75,10.51,10.62,651867
ALQKOB.AX,10-Jan-2013,2.14,2.14,2.14,2.14,0
ALQKOC.AX,10-Jan-2013,2.07,2.07,2.07,2.07,0
ALQKOP.AX,10-Jan-2013,2.15,2.15,2.15,2.15,0
ALQKOT.AX,10-Jan-2013,3.35,3.35,3.35,3.35,0
ALR.AX,10-Jan-2013,1.17,1.17,1.17,1.17,28000
ALT.AX,10-Jan-2013,0.021,0.021,0.021,0.021,25000
ALTOA.AX,10-Jan-2013,0.004,0.004,0.004,0.004,0
ALU.AX,10-Jan-2013,1.3,1.3,1.29,1.3,259936
ALY.AX,10-Jan-2013,0.076,0.076,0.076,0.076,3411
AMA.AX,10-Jan-2013,0.38,0.38,0.37,0.375,72368
AMB.AX,10-Jan-2013,0.175,0.175,0.175,0.175,0
AMC.AX,10-Jan-2013,8.43,8.43,8.21,8.29,3053548
AMCKOP.AX,10-Jan-2013,1.195,1.195,1.195,1.195,0
AMCKOQ.AX,10-Jan-2013,1.43,1.43,1.43,1.43,0
AMH.AX,10-Jan-2013,0.85,0.85,0.85,0.85,11273
AMI.AX,10-Jan-2013,0.31,0.31,0.3,0.31,52900
AMO.AX,10-Jan-2013,0.29,0.29,0.29,0.29,0
AMP.AX,10-Jan-2013,5.03,5.11,5.02,5.09,14411795
