Symbol,Date,Open,High,Low,Close,Volume
AAA.AX,03-Apr-2013,50.1,50.1,50.08,50.08,15329
AAC.AX,03-Apr-2013,1.3,1.315,1.27,1.3,237779
AAD.AX,03-Apr-2013,1.44,1.45,1.43,1.44,1199635
AAI.AX,03-Apr-2013,7.95,7.95,7.95,7.95,0
AAJ.AX,03-Apr-2013,0.06,0.06,0.06,0.06,75000
AAK.AX,03-Apr-2013,0.002,0.002,0.002,0.002,5800000
AAL.AX,03-Apr-2013,0.003,0.003,0.003,0.003,0
AAP.AX,03-Apr-2013,0.009,0.009,0.009,0.009,0
AAR.AX,03-Apr-2013,0.005,0.005,0.005,0.005,680576
AAT.AX,03-Apr-2013,0.013,0.013,0.013,0.013,0
AAU.AX,03-Apr-2013,0.12,0.12,0.12,0.12,16244
AAX.AX,03-Apr-2013,3.79,3.79,3.51,3.55,1056617
ABC.AX,03-Apr-2013,3.52,3.54,3.45,3.47,1313689
ABCKOA.AX,03-Apr-2013,0.54,0.54,0.54,0.54,0
ABP.AX,03-Apr-2013,2.16,2.18,2.16,2.17,460404
ABU.AX,03-Apr-2013,0.041,0.041,0.04,0.04,6401343
ABV.AX,03-Apr-2013,0.016,0.016,0.016,0.016,100000
ABW.AX,03-Apr-2013,1.075,1.075,1.075,1.075,0
ABY.AX,03-Apr-2013,0.43,0.44,0.425,0.44,132422
ACB.AX,03-Apr-2013,0.09,0.09,0.09,0.09,852500
ACE.AX,03-Apr-2013,0.019,0.019,0.019,0.019,0
ACG.AX,03-Apr-2013,0.088,0.088,0.087,0.087,200000
ACK.AX,03-Apr-2013,0.18,0.18,0.18,0.18,13200
ACL.AX,03-Apr-2013,0.33,0.33,0.325,0.33,430892
ACP.AX,03-Apr-2013,0.205,0.205,0.205,0.205,0
ACR.AX,03-Apr-2013,3.77,3.78,3.59,3.7,1783946
ACS.AX,03-Apr-2013,0.185,0.185,0.185,0.185,10000
ACU.AX,03-Apr-2013,0.001,0.001,0.001,0.001,0
ACW.AX,03-Apr-2013,0.021,0.021,0.021,0.021,16417
ADA.AX,03-Apr-2013,0.355,0.355,0.355,0.355,5000
ADD.AX,03-Apr-2013,0.011,0.011,0.011,0.011,0
ADJ.AX,03-Apr-2013,0.026,0.026,0.026,0.026,1079580
ADN.AX,03-Apr-2013,0.042,0.042,0.041,0.042,43007
ADO.AX,03-Apr-2013,0.056,0.059,0.056,0.059,702987
ADQ.AX,03-Apr-2013,0.05,0.05,0.05,0.05,59000
ADX.AX,03-Apr-2013,0.018,0.018,0.018,0.018,500
ADY.AX,03-Apr-2013,0.033,0.033,0.033,0.033,51907
AEB.AX,03-Apr-2013,0.24,0.24,0.235,0.24,49444
AED.AX,03-Apr-2013,0.145,0.145,0.145,0.145,0
AEE.AX,03-Apr-2013,0.105,0.105,0.105,0.105,211476
AEF.AX,03-Apr-2013,20.02,20.02,20.02,20.02,0
AEI.AX,03-Apr-2013,0.15,0.15,0.15,0.15,35000
AEJ.AX,03-Apr-2013,8.55,8.55,8.55,8.55,0
AES.AX,03-Apr-2013,0.035,0.035,0.035,0.035,0
AFA.AX,03-Apr-2013,0.22,0.22,0.22,0.22,0
AFI.AX,03-Apr-2013,5.46,5.52,5.45,5.45,422266
AFIG.AX,03-Apr-2013,116,116,115.75,115.75,256
AFR.AX,03-Apr-2013,0.115,0.115,0.11,0.115,911277
AFT.AX,03-Apr-2013,0.001,0.001,0.001,0.001,0
AGD.AX,03-Apr-2013,0.17,0.17,0.17,0.17,0
AGE.AX,03-Apr-2013,0.057,0.057,0.055,0.055,600000
AGF.AX,03-Apr-2013,0.68,0.68,0.665,0.665,448424
AGG.AX,03-Apr-2013,4.32,4.32,4.2,4.23,10016
AGI.AX,03-Apr-2013,3.47,3.53,3.43,3.49,268984
AGJ.AX,03-Apr-2013,0.105,0.105,0.105,0.105,0
AGO.AX,03-Apr-2013,1.07,1.095,1.05,1.05,10325208
AGOKOS.AX,03-Apr-2013,0.83,0.83,0.83,0.83,0
AGOKOU.AX,03-Apr-2013,0.26,0.26,0.26,0.26,0
AGR.AX,03-Apr-2013,0.115,0.115,0.11,0.11,26000
AGS.AX,03-Apr-2013,0.14,0.15,0.14,0.14,163140
AGX.AX,03-Apr-2013,0.022,0.022,0.022,0.022,0
AGY.AX,03-Apr-2013,0.11,0.115,0.11,0.115,289992
AHD.AX,03-Apr-2013,8.06,8.1,8.03,8.1,14544
AHK.AX,03-Apr-2013,0.1,0.1,0.1,0.1,100000
AHN.AX,03-Apr-2013,0.036,0.036,0.036,0.036,2500
AHQ.AX,03-Apr-2013,0.055,0.055,0.055,0.055,0
AHR.AX,03-Apr-2013,0.19,0.19,0.19,0.19,0
AHZ.AX,03-Apr-2013,0.028,0.029,0.028,0.029,2941000
AIA.AX,03-Apr-2013,2.35,2.36,2.35,2.36,65626
AIB.AX,03-Apr-2013,1.035,1.035,1.035,1.035,0
AIK.AX,03-Apr-2013,0.052,0.052,0.052,0.052,0
AIO.AX,03-Apr-2013,5.6,5.6,5.42,5.48,3731917
AIOKOB.AX,03-Apr-2013,0.725,0.725,0.725,0.725,0
AIQ.AX,03-Apr-2013,0.305,0.305,0.305,0.305,2819
AIR.AX,03-Apr-2013,0.13,0.13,0.13,0.13,10000
AIV.AX,03-Apr-2013,0.016,0.016,0.016,0.016,0
