Symbol,Date,Open,High,Low,Close,Volume
AAA.AX,11-Apr-2013,50.14,50.14,50.13,50.14,21309
AAC.AX,11-Apr-2013,1.23,1.23,1.21,1.22,198392
AAD.AX,11-Apr-2013,1.44,1.45,1.435,1.45,538355
AAI.AX,11-Apr-2013,7.95,7.95,7.95,7.95,0
AAJ.AX,11-Apr-2013,0.059,0.059,0.055,0.055,150533
AAK.AX,11-Apr-2013,0.002,0.002,0.002,0.002,250000
AAL.AX,11-Apr-2013,0.003,0.003,0.003,0.003,0
AAP.AX,11-Apr-2013,0.009,0.009,0.009,0.009,500000
AAR.AX,11-Apr-2013,0.006,0.006,0.006,0.006,403920
AAT.AX,11-Apr-2013,0.013,0.013,0.013,0.013,0
AAU.AX,11-Apr-2013,0.11,0.11,0.11,0.11,0
AAX.AX,11-Apr-2013,3.26,3.3,3.24,3.25,576026
ABC.AX,11-Apr-2013,3.39,3.41,3.33,3.34,1225374
ABCKOA.AX,11-Apr-2013,0.54,0.54,0.54,0.54,0
ABCKOP.AX,11-Apr-2013,1.545,1.545,1.545,1.545,0
ABP.AX,11-Apr-2013,2.16,2.21,2.16,2.21,607406
ABU.AX,11-Apr-2013,0.038,0.039,0.038,0.038,1553159
ABV.AX,11-Apr-2013,0.017,0.017,0.017,0.017,300000
ABW.AX,11-Apr-2013,1.065,1.065,1.055,1.055,10615
ABY.AX,11-Apr-2013,0.41,0.425,0.41,0.42,494023
ACB.AX,11-Apr-2013,0.09,0.09,0.087,0.09,321505
ACE.AX,11-Apr-2013,0.019,0.019,0.019,0.019,0
ACG.AX,11-Apr-2013,0.094,0.094,0.09,0.09,294524
ACK.AX,11-Apr-2013,0.15,0.15,0.15,0.15,0
ACL.AX,11-Apr-2013,0.34,0.34,0.34,0.34,239733
ACP.AX,11-Apr-2013,0.205,0.205,0.205,0.205,0
ACR.AX,11-Apr-2013,3.63,3.77,3.63,3.73,524839
ACS.AX,11-Apr-2013,0.18,0.185,0.18,0.185,130000
ACU.AX,11-Apr-2013,0.001,0.001,0.001,0.001,0
ACW.AX,11-Apr-2013,0.023,0.023,0.023,0.023,0
ADA.AX,11-Apr-2013,0.255,0.255,0.255,0.255,0
ADD.AX,11-Apr-2013,0.008,0.008,0.008,0.008,50000
ADJ.AX,11-Apr-2013,0.028,0.045,0.028,0.029,3201869
ADN.AX,11-Apr-2013,0.038,0.04,0.038,0.04,195491
ADO.AX,11-Apr-2013,0.057,0.058,0.055,0.058,586777
ADQ.AX,11-Apr-2013,0.048,0.048,0.047,0.047,100000
ADX.AX,11-Apr-2013,0.015,0.015,0.015,0.015,0
ADY.AX,11-Apr-2013,0.032,0.032,0.032,0.032,64401
AEB.AX,11-Apr-2013,0.24,0.245,0.24,0.245,26172
AED.AX,11-Apr-2013,0.145,0.145,0.145,0.145,0
AEE.AX,11-Apr-2013,0.12,0.12,0.12,0.12,66000
AEF.AX,11-Apr-2013,21.11,22,20.1,22,723
AEI.AX,11-Apr-2013,0.15,0.15,0.15,0.15,0
AEJ.AX,11-Apr-2013,8.55,8.55,8.55,8.55,0
AES.AX,11-Apr-2013,0.035,0.035,0.035,0.035,0
AFA.AX,11-Apr-2013,0.22,0.22,0.22,0.22,0
AFI.AX,11-Apr-2013,5.44,5.47,5.37,5.38,436414
AFIG.AX,11-Apr-2013,115.601,116,115.601,116,582
AFR.AX,11-Apr-2013,0.11,0.115,0.11,0.115,355000
AFT.AX,11-Apr-2013,0.001,0.001,0.001,0.001,500000
AGD.AX,11-Apr-2013,0.17,0.17,0.17,0.17,0
AGE.AX,11-Apr-2013,0.049,0.049,0.049,0.049,6900
AGF.AX,11-Apr-2013,0.665,0.67,0.66,0.67,184706
AGG.AX,11-Apr-2013,4.4,4.4,4.4,4.4,0
AGI.AX,11-Apr-2013,3.5,3.52,3.48,3.49,306365
AGJ.AX,11-Apr-2013,0.1,0.1,0.1,0.1,6439
AGO.AX,11-Apr-2013,1.18,1.185,1.115,1.12,12550657
AGOKOS.AX,11-Apr-2013,0.83,0.83,0.83,0.83,0
AGOKOU.AX,11-Apr-2013,0.26,0.26,0.26,0.26,0
AGR.AX,11-Apr-2013,0.1,0.1,0.1,0.1,80000
AGS.AX,11-Apr-2013,0.14,0.175,0.14,0.155,491500
AGX.AX,11-Apr-2013,0.018,0.018,0.018,0.018,800
AGY.AX,11-Apr-2013,0.13,0.13,0.13,0.13,0
AHD.AX,11-Apr-2013,8.03,8.1,8.02,8.04,9278
AHK.AX,11-Apr-2013,0.11,0.115,0.11,0.115,46387
AHN.AX,11-Apr-2013,0.038,0.038,0.038,0.038,250000
AHQ.AX,11-Apr-2013,0.055,0.055,0.055,0.055,0
AHR.AX,11-Apr-2013,0.19,0.19,0.19,0.19,0
AHZ.AX,11-Apr-2013,0.029,0.029,0.029,0.029,1654963
AIA.AX,11-Apr-2013,2.36,2.37,2.35,2.35,144402
AIB.AX,11-Apr-2013,1.035,1.035,1.035,1.035,0
AIK.AX,11-Apr-2013,0.045,0.045,0.045,0.045,0
AIO.AX,11-Apr-2013,5.42,5.49,5.34,5.38,2387380
AIOKOB.AX,11-Apr-2013,0.725,0.725,0.725,0.725,0
AIQ.AX,11-Apr-2013,0.31,0.31,0.31,0.31,0
AIR.AX,11-Apr-2013,0.125,0.125,0.125,0.125,0
AIV.AX,11-Apr-2013,0.015,0.015,0.015,0.015,0
AIY.AX,11-Apr-2013,0.038,0.038,0.038,0.038,0
AIZ.AX,11-Apr-2013,1.18,1.18,1.18,1.18,15100
AJA.AX,11-Apr-2013,3.91,3.95,3.9,3.94,145901
AJC.AX,11-Apr-2013,0.015,0.015,0.015,0.015,350000
AJJ.AX,11-Apr-2013,0.16,0.16,0.16,0.16,9401
AJL.AX,11-Apr-2013,1.6,1.6,1.53,1.565,71091
AJM.AX,11-Apr-2013,0.14,0.14,0.14,0.14,100000
AJO.AX,11-Apr-2013,1.79,1.79,1.79,1.79,0
AJQ.AX,11-Apr-2013,0.265,0.27,0.265,0.27,33300
AJX.AX,11-Apr-2013,0.07,0.07,0.07,0.07,0
AJY.AX,11-Apr-2013,0.225,0.225,0.225,0.225,0
AKF.AX,11-Apr-2013,0.15,0.15,0.15,0.15,0
AKG.AX,11-Apr-2013,0.645,0.645,0.64,0.64,21547
AKK.AX,11-Apr-2013,0.015,0.016,0.014,0.014,8856096
AKM.AX,11-Apr-2013,0.07,0.073,0.067,0.073,571541
AKP.AX,11-Apr-2013,3.61,3.61,3.6,3.6,4681
AKY.AX,11-Apr-2013,81.72,81.72,81.72,81.72,0
ALF.AX,11-Apr-2013,1.5,1.5,1.485,1.485,301859
ALK.AX,11-Apr-2013,0.53,0.595,0.52,0.595,1484358
ALL.AX,11-Apr-2013,3.69,3.77,3.66,3.71,1788869
ALLKOB.AX,11-Apr-2013,0.57,0.57,0.57,0.57,0
ALLKOD.AX,11-Apr-2013,1.665,1.665,1.665,1.665,0
ALQ.AX,11-Apr-2013,10.5,10.6,10.25,10.31,1658527
ALQKOB.AX,11-Apr-2013,4.27,4.27,4.27,4.27,0
ALQKOC.AX,11-Apr-2013,5.29,5.29,5.29,5.29,0
ALQKOP.AX,11-Apr-2013,4.9,4.9,4.9,4.9,0
ALQKOT.AX,11-Apr-2013,2.75,2.75,2.75,2.75,0
ALQKOU.AX,11-Apr-2013,4.15,4.15,4.15,4.15,0
ALR.AX,11-Apr-2013,1.24,1.24,1.225,1.24,39602
ALT.AX,11-Apr-2013,0.021,0.023,0.021,0.023,1420000
ALTOA.AX,11-Apr-2013,0.001,0.001,0.001,0.001,0
ALU.AX,11-Apr-2013,1.32,1.365,1.32,1.335,73824
ALY.AX,11-Apr-2013,0.075,0.075,0.071,0.071,125000
AMA.AX,11-Apr-2013,0.34,0.35,0.335,0.345,1007342
AMB.AX,11-Apr-2013,0.19,0.19,0.19,0.19,0
AMC.AX,11-Apr-2013,9.57,9.67,9.5,9.67,4490020
AMCKOB.AX,11-Apr-2013,2.06,2.06,2.06,2.06,0
AMCKOP.AX,11-Apr-2013,1.195,1.195,1.195,1.195,0
AMCKOQ.AX,11-Apr-2013,1.5,1.5,1.5,1.5,0
AMH.AX,11-Apr-2013,0.92,0.92,0.91,0.91,7430
AMI.AX,11-Apr-2013,0.25,0.25,0.25,0.25,265900
AMO.AX,11-Apr-2013,0.25,0.25,0.25,0.25,0
AMP.AX,11-Apr-2013,5.14,5.2,5.12,5.15,7377911
AMPKOE.AX,11-Apr-2013,1.495,1.495,1.495,1.495,0
AMPKOF.AX,11-Apr-2013,1.17,1.17,1.17,1.17,0
AMPKOV.AX,11-Apr-2013,0.87,0.87,0.87,0.87,11360
AMPLOC.AX,11-Apr-2013,0.75,0.75,0.75,0.75,0
AMT.AX,11-Apr-2013,0.105,0.105,0.105,0.105,0
ANG.AX,11-Apr-2013,5.67,5.72,5.65,5.68,96113
ANN.AX,11-Apr-2013,15.2,15.3,15.08,15.12,1704597
ANNKOC.AX,11-Apr-2013,2.19,2.19,2.19,2.19,0
ANO.AX,11-Apr-2013,0.013,0.013,0.013,0.013,1019299
ANP.AX,11-Apr-2013,0.011,0.011,0.011,0.011,0
ANQ.AX,11-Apr-2013,0.01,0.01,0.01,0.01,3087954
ANW.AX,11-Apr-2013,0.016,0.016,0.016,0.016,200000
ANZ.AX,11-Apr-2013,28.36,28.69,28.35,28.69,5915687
ANZHA.AX,11-Apr-2013,103.25,103.5,103,103,7260
ANZKOD.AX,11-Apr-2013,4.78,4.78,4.78,4.78,0
ANZKOE.AX,11-Apr-2013,5.7,5.7,5.7,5.7,0
ANZKOF.AX,11-Apr-2013,5.67,5.67,5.67,5.67,0
ANZKOP.AX,11-Apr-2013,2.65,2.65,2.65,2.65,0
ANZKOQ.AX,11-Apr-2013,2.92,2.92,2.92,2.92,0
ANZKOS.AX,11-Apr-2013,3.15,3.15,3.15,3.15,0
ANZKOU.AX,11-Apr-2013,3.55,3.55,3.55,3.55,0
ANZKOV.AX,11-Apr-2013,3.84,3.84,3.84,3.84,0
ANZLOC.AX,11-Apr-2013,2.33,2.33,2.33,2.33,0
ANZLOQ.AX,11-Apr-2013,1.345,1.345,1.345,1.345,0
ANZLOR.AX,11-Apr-2013,1.515,1.515,1.515,1.515,0
ANZLOS.AX,11-Apr-2013,2.4,2.4,2.4,2.4,0
ANZLOT.AX,11-Apr-2013,1.445,1.445,1.445,1.445,0
ANZPA.AX,11-Apr-2013,100.499,100.499,100.25,100.25,27613
ANZPC.AX,11-Apr-2013,99.75,99.75,99.58,99.6,10143
AOA.AX,11-Apr-2013,0.018,0.018,0.018,0.018,0
AOD.AX,11-Apr-2013,1.005,1.005,1.005,1.005,3000
AOH.AX,11-Apr-2013,0.195,0.205,0.195,0.205,925668
AOK.AX,11-Apr-2013,0.15,0.15,0.135,0.14,3407423
AON.AX,11-Apr-2013,0.058,0.061,0.058,0.058,915103
AOP.AX,11-Apr-2013,0.105,0.105,0.105,0.105,0
AOU.AX,11-Apr-2013,0.15,0.155,0.15,0.155,90000
