Symbol,Date,Open,High,Low,Close,Volume
AAA.AX,29-Apr-2013,50.24,50.24,50.22,50.24,61974
AAC.AX,29-Apr-2013,1.19,1.19,1.17,1.175,191763
AAD.AX,29-Apr-2013,1.54,1.56,1.535,1.56,899401
AAI.AX,29-Apr-2013,7.95,7.95,7.95,7.95,0
AAJ.AX,29-Apr-2013,0.053,0.053,0.051,0.051,70100
AAK.AX,29-Apr-2013,0.001,0.001,0.001,0.001,0
AAL.AX,29-Apr-2013,0.003,0.003,0.003,0.003,0
AAP.AX,29-Apr-2013,0.011,0.011,0.011,0.011,400000
AAR.AX,29-Apr-2013,0.005,0.005,0.005,0.005,2140050
AAT.AX,29-Apr-2013,0.013,0.013,0.013,0.013,0
AAU.AX,29-Apr-2013,0.105,0.105,0.105,0.105,0
AAX.AX,29-Apr-2013,2.75,2.82,2.72,2.78,251889
ABC.AX,29-Apr-2013,3.47,3.47,3.38,3.4,1103204
ABCKOA.AX,29-Apr-2013,0.925,0.925,0.925,0.925,0
ABCKOP.AX,29-Apr-2013,1.545,1.545,1.545,1.545,0
ABP.AX,29-Apr-2013,2.28,2.32,2.28,2.31,376878
ABU.AX,29-Apr-2013,0.033,0.035,0.033,0.033,4990012
ABV.AX,29-Apr-2013,0.016,0.016,0.016,0.016,0
ABW.AX,29-Apr-2013,1.07,1.075,1.07,1.07,70988
ABY.AX,29-Apr-2013,0.335,0.355,0.335,0.34,215293
ACB.AX,29-Apr-2013,0.07,0.07,0.07,0.07,0
ACE.AX,29-Apr-2013,0.019,0.019,0.019,0.019,0
ACG.AX,29-Apr-2013,0.084,0.084,0.081,0.081,385671
ACK.AX,29-Apr-2013,0.155,0.155,0.155,0.155,0
ACL.AX,29-Apr-2013,0.425,0.425,0.39,0.395,940030
ACP.AX,29-Apr-2013,0.25,0.25,0.25,0.25,0
ACR.AX,29-Apr-2013,4.05,4.09,3.965,4,812250
ACS.AX,29-Apr-2013,0.16,0.16,0.16,0.16,0
ACU.AX,29-Apr-2013,0.001,0.001,0.001,0.001,0
ACW.AX,29-Apr-2013,0.011,0.011,0.011,0.011,0
ADA.AX,29-Apr-2013,0.345,0.345,0.345,0.345,1431
ADD.AX,29-Apr-2013,0.008,0.008,0.008,0.008,0
ADJ.AX,29-Apr-2013,0.029,0.029,0.029,0.029,0
ADN.AX,29-Apr-2013,0.042,0.042,0.042,0.042,0
ADO.AX,29-Apr-2013,0.05,0.053,0.05,0.053,124666
ADQ.AX,29-Apr-2013,0.047,0.047,0.047,0.047,0
ADX.AX,29-Apr-2013,0.016,0.017,0.015,0.015,406250
ADY.AX,29-Apr-2013,0.031,0.031,0.031,0.031,46748
AEB.AX,29-Apr-2013,0.23,0.23,0.225,0.225,150437
AED.AX,29-Apr-2013,0.145,0.145,0.145,0.145,0
AEE.AX,29-Apr-2013,0.096,0.096,0.093,0.093,56834
AEF.AX,29-Apr-2013,21.1,21.9,21.1,21.9,150
AEI.AX,29-Apr-2013,0.14,0.14,0.14,0.14,0
AEJ.AX,29-Apr-2013,8.55,8.55,8.55,8.55,0
AES.AX,29-Apr-2013,0.035,0.035,0.035,0.035,0
AFA.AX,29-Apr-2013,0.21,0.21,0.21,0.21,0
AFI.AX,29-Apr-2013,5.46,5.5,5.44,5.49,298208
AFIG.AX,29-Apr-2013,114.8,115.5,114.8,115.5,221
AFR.AX,29-Apr-2013,0.125,0.125,0.11,0.11,565463
AFT.AX,29-Apr-2013,0.001,0.001,0.001,0.001,0
AGD.AX,29-Apr-2013,0.14,0.14,0.14,0.14,0
AGE.AX,29-Apr-2013,0.035,0.035,0.035,0.035,0
AGF.AX,29-Apr-2013,0.655,0.655,0.65,0.65,90715
AGG.AX,29-Apr-2013,3.78,3.78,3.78,3.78,135
AGI.AX,29-Apr-2013,3.68,3.77,3.67,3.68,213331
AGJ.AX,29-Apr-2013,0.1,0.1,0.1,0.1,0
AGO.AX,29-Apr-2013,0.855,0.865,0.835,0.85,6152649
