Symbol,Date,Open,High,Low,Close,Volume
AAA.AX,07-Nov-2013,50.12,50.12,50.1,50.12,16368
AAC.AX,07-Nov-2013,1.115,1.13,1.075,1.125,1403129
AAD.AX,07-Nov-2013,1.995,2.02,1.98,1.99,732210
AAI.AX,07-Nov-2013,8,8,8,8,0
AAJ.AX,07-Nov-2013,0.017,0.017,0.017,0.017,0
AAK.AX,07-Nov-2013,0.001,0.001,0.001,0.001,2000000
AAL.AX,07-Nov-2013,0.003,0.003,0.003,0.003,65000
AAP.AX,07-Nov-2013,0.014,0.014,0.014,0.014,100000
AAR.AX,07-Nov-2013,0.003,0.003,0.003,0.003,3428687
AAT.AX,07-Nov-2013,0.013,0.013,0.013,0.013,0
AAU.AX,07-Nov-2013,0.07,0.07,0.07,0.07,0
AAX.AX,07-Nov-2013,1.6,1.61,1.55,1.55,232199
ABC.AX,07-Nov-2013,3.75,3.8,3.73,3.8,1236100
ABCKOA.AX,07-Nov-2013,0.66,0.66,0.66,0.66,0
ABCKOP.AX,07-Nov-2013,1.1,1.1,1.1,1.1,0
ABP.AX,07-Nov-2013,2.29,2.31,2.285,2.31,500086
ABU.AX,07-Nov-2013,0.026,0.026,0.025,0.025,5676068
ABV.AX,07-Nov-2013,0.016,0.016,0.016,0.016,0
ABW.AX,07-Nov-2013,1.06,1.065,1.06,1.065,419717
ABY.AX,07-Nov-2013,0.345,0.345,0.34,0.34,525787
ACB.AX,07-Nov-2013,0.05,0.051,0.05,0.051,77875
ACE.AX,07-Nov-2013,0.019,0.019,0.019,0.019,0
ACG.AX,07-Nov-2013,0.16,0.165,0.16,0.165,1952500
ACK.AX,07-Nov-2013,0.22,0.22,0.22,0.22,0
ACL.AX,07-Nov-2013,0.58,0.58,0.57,0.58,335809
ACP.AX,07-Nov-2013,0.05,0.05,0.05,0.05,0
ACR.AX,07-Nov-2013,2.65,2.67,2.61,2.64,528944
ACS.AX,07-Nov-2013,0.2,0.2,0.2,0.2,5000
ACU.AX,07-Nov-2013,0.001,0.001,0.001,0.001,0
ACW.AX,07-Nov-2013,0.02,0.02,0.02,0.02,0
ADA.AX,07-Nov-2013,0.515,0.535,0.515,0.535,20500
ADD.AX,07-Nov-2013,0.003,0.003,0.003,0.003,0
ADJ.AX,07-Nov-2013,0.115,0.125,0.115,0.12,4953535
ADN.AX,07-Nov-2013,0.06,0.06,0.06,0.06,295
ADO.AX,07-Nov-2013,0.071,0.075,0.071,0.072,9472216
ADQ.AX,07-Nov-2013,0.014,0.014,0.014,0.014,0
ADX.AX,07-Nov-2013,0.018,0.018,0.018,0.018,0
ADY.AX,07-Nov-2013,0.018,0.018,0.018,0.018,0
AEB.AX,07-Nov-2013,0.15,0.15,0.15,0.15,1500
AED.AX,07-Nov-2013,0.145,0.145,0.145,0.145,0
AEE.AX,07-Nov-2013,0.051,0.051,0.051,0.051,0
AEF.AX,07-Nov-2013,25,25.01,25,25.01,1357
AEI.AX,07-Nov-2013,0.135,0.135,0.135,0.135,0
AEJ.AX,07-Nov-2013,8,8,8,8,0
AES.AX,07-Nov-2013,0.035,0.035,0.035,0.035,0
AFA.AX,07-Nov-2013,0.17,0.17,0.17,0.17,0
AFI.AX,07-Nov-2013,6,6.04,5.99,6,208168
AFIG.AX,07-Nov-2013,119,119,118.6,118.6,169
AFR.AX,07-Nov-2013,0.155,0.16,0.15,0.15,377169
AFT.AX,07-Nov-2013,0.001,0.001,0.001,0.001,0
AGD.AX,07-Nov-2013,0.17,0.17,0.17,0.17,0
AGE.AX,07-Nov-2013,0.08,0.08,0.078,0.078,55000
AGF.AX,07-Nov-2013,0.78,0.79,0.78,0.78,350092
AGG.AX,07-Nov-2013,3.12,3.12,3.12,3.12,572
AGI.AX,07-Nov-2013,4.3,4.38,4.23,4.26,88883
AGJ.AX,07-Nov-2013,0.078,0.078,0.078,0.078,27500
AGO.AX,07-Nov-2013,1.195,1.2,1.135,1.17,29353235
AGOKOS.AX,07-Nov-2013,0.83,0.83,0.83,0.83,0
AGOKOU.AX,07-Nov-2013,0.325,0.325,0.325,0.325,0
AGOKOV.AX,07-Nov-2013,0.155,0.175,0.155,0.175,200000
AGR.AX,07-Nov-2013,0.05,0.055,0.05,0.05,645000
AGS.AX,07-Nov-2013,0.125,0.125,0.12,0.12,12595
AGX.AX,07-Nov-2013,0.024,0.024,0.024,0.024,250000
AGY.AX,07-Nov-2013,0.03,0.03,0.03,0.03,0
AHD.AX,07-Nov-2013,8.13,8.23,8.09,8.13,17871
AHK.AX,07-Nov-2013,0.095,0.095,0.095,0.095,0
AHN.AX,07-Nov-2013,0.03,0.03,0.03,0.03,5000
AHQ.AX,07-Nov-2013,0.028,0.028,0.028,0.028,20000
AHR.AX,07-Nov-2013,0.19,0.19,0.19,0.19,0
AHZ.AX,07-Nov-2013,0.165,0.165,0.15,0.15,5508117
AIA.AX,07-Nov-2013,3.14,3.15,3.14,3.15,5921
