Symbol,Date,Open,High,Low,Close,Volume
AAA.AX,27-May-2014,50.2,50.21,50.2,50.21,26144
AAC.AX,27-May-2014,1.25,1.26,1.24,1.255,277130
AAD.AX,27-May-2014,2.56,2.61,2.56,2.6,607627
AAI.AX,27-May-2014,14.5,14.5,14.5,14.5,0
AAJ.AX,27-May-2014,0.036,0.036,0.036,0.036,0
AAK.AX,27-May-2014,0.001,0.001,0.001,0.001,319440
AAL.AX,27-May-2014,0.005,0.005,0.005,0.005,0
AAP.AX,27-May-2014,0.011,0.011,0.011,0.011,250000
AAR.AX,27-May-2014,0.011,0.011,0.011,0.011,3500
AAT.AX,27-May-2014,1.3,1.3,1.3,1.3,0
AAU.AX,27-May-2014,0.066,0.066,0.066,0.066,0
AAX.AX,27-May-2014,0.515,0.52,0.507,0.52,132557
ABC.AX,27-May-2014,3.43,3.5,3.405,3.42,2755243
ABCKOP.AX,27-May-2014,1.365,1.365,1.365,1.365,0
ABCKOQ.AX,27-May-2014,0.99,0.99,0.99,0.99,0
ABP.AX,27-May-2014,2.45,2.45,2.44,2.45,418894
ABU.AX,27-May-2014,0.02,0.02,0.019,0.019,9525572
ABV.AX,27-May-2014,0.006,0.006,0.006,0.006,628986
ABW.AX,27-May-2014,1.065,1.065,1.065,1.065,0
ABY.AX,27-May-2014,0.205,0.205,0.205,0.205,24000
ACB.AX,27-May-2014,0.05,0.05,0.048,0.048,94801
ACE.AX,27-May-2014,0.019,0.019,0.019,0.019,0
ACG.AX,27-May-2014,0.115,0.115,0.105,0.11,846100
ACK.AX,27-May-2014,0.22,0.22,0.22,0.22,0
ACL.AX,27-May-2014,0.51,0.52,0.51,0.51,229647
ACP.AX,27-May-2014,0.15,0.15,0.15,0.15,0
ACQ.AX,27-May-2014,0.9,0.91,0.9,0.9,23098
ACR.AX,27-May-2014,0.93,0.94,0.9,0.9,887266
ACS.AX,27-May-2014,0.21,0.21,0.21,0.21,0
ACU.AX,27-May-2014,0.001,0.001,0.001,0.001,0
ACW.AX,27-May-2014,0.021,0.021,0.021,0.021,0
ADA.AX,27-May-2014,0.295,0.295,0.26,0.26,20019
ADD.AX,27-May-2014,0.004,0.004,0.004,0.004,0
ADJ.AX,27-May-2014,0.11,0.11,0.105,0.105,1812258
ADN.AX,27-May-2014,0.041,0.043,0.041,0.041,487459
ADO.AX,27-May-2014,0.215,0.22,0.205,0.205,926005
ADQ.AX,27-May-2014,0.013,0.013,0.013,0.013,0
ADX.AX,27-May-2014,0.013,0.013,0.013,0.013,0
ADY.AX,27-May-2014,0.013,0.013,0.013,0.013,7970
AEB.AX,27-May-2014,0.095,0.095,0.08,0.083,521058
AED.AX,27-May-2014,0.145,0.145,0.145,0.145,0
AEE.AX,27-May-2014,0.027,0.027,0.027,0.027,75000
AEF.AX,27-May-2014,32.5,32.5,32.5,32.5,0
AEI.AX,27-May-2014,0.09,0.09,0.09,0.09,0
AEJ.AX,27-May-2014,8,8,8,8,0
AES.AX,27-May-2014,0.035,0.035,0.035,0.035,0
AFA.AX,27-May-2014,0.195,0.195,0.195,0.195,10000
AFI.AX,27-May-2014,5.94,5.94,5.925,5.94,466331
AFIG.AX,27-May-2014,117.56,118,117.55,117.55,455
AFJ.AX,27-May-2014,1.29,1.29,1.27,1.285,105447
AFR.AX,27-May-2014,0.08,0.084,0.08,0.08,378811
AFT.AX,27-May-2014,0.001,0.001,0.001,0.001,0
AGD.AX,27-May-2014,0.072,0.072,0.072,0.072,0
AGE.AX,27-May-2014,0.035,0.035,0.035,0.035,0
AGF.AX,27-May-2014,0.65,0.67,0.65,0.665,675761
AGG.AX,27-May-2014,3.58,3.58,3.5,3.5,1162
AGI.AX,27-May-2014,4.06,4.06,3.99,4.04,496991
AGJ.AX,27-May-2014,0.079,0.079,0.079,0.079,0
AGO.AX,27-May-2014,0.73,0.745,0.725,0.74,7687948
AGOKOS.AX,27-May-2014,0.695,0.695,0.695,0.695,0
AGOKOU.AX,27-May-2014,0.305,0.305,0.305,0.305,0
AGOKOV.AX,27-May-2014,0.435,0.435,0.435,0.435,0
AGR.AX,27-May-2014,0.046,0.046,0.046,0.046,4500
AGS.AX,27-May-2014,0.22,0.22,0.215,0.215,98327
AGX.AX,27-May-2014,0.013,0.013,0.013,0.013,3160
AGY.AX,27-May-2014,0.045,0.045,0.045,0.045,0
AHA.AX,27-May-2014,0.04,0.04,0.04,0.04,0
AHD.AX,27-May-2014,9.55,9.57,9.515,9.55,16538
AHK.AX,27-May-2014,0.04,0.04,0.04,0.04,2500
AHN.AX,27-May-2014,0.033,0.033,0.033,0.033,0
AHQ.AX,27-May-2014,0.011,0.011,0.011,0.011,0
