Symbol,Date,Open,High,Low,Close,Volume
AAA.AX,11-Apr-2014,50.13,50.13,50.12,50.13,5555
AAC.AX,11-Apr-2014,1.3,1.3,1.29,1.3,154639
AAD.AX,11-Apr-2014,2.55,2.565,2.51,2.52,1432409
AAI.AX,11-Apr-2014,13.5,13.5,13.5,13.5,0
AAJ.AX,11-Apr-2014,0.029,0.029,0.028,0.029,4123705
AAK.AX,11-Apr-2014,0.001,0.001,0.001,0.001,0
AAL.AX,11-Apr-2014,0.003,0.003,0.003,0.003,0
AAP.AX,11-Apr-2014,0.012,0.012,0.012,0.012,200000
AAR.AX,11-Apr-2014,0.014,0.014,0.014,0.014,0
AAT.AX,11-Apr-2014,1.3,1.3,1.3,1.3,0
AAU.AX,11-Apr-2014,0.09,0.09,0.09,0.09,0
AAX.AX,11-Apr-2014,0.62,0.62,0.59,0.6,134099
ABC.AX,11-Apr-2014,3.92,3.96,3.9,3.92,1222207
ABCKOP.AX,11-Apr-2014,1.365,1.365,1.365,1.365,0
ABCKOQ.AX,11-Apr-2014,0.99,0.99,0.99,0.99,0
ABP.AX,11-Apr-2014,2.4,2.41,2.34,2.4,725121
ABU.AX,11-Apr-2014,0.024,0.025,0.024,0.024,600413
ABV.AX,11-Apr-2014,0.007,0.007,0.007,0.007,80000
ABW.AX,11-Apr-2014,1.06,1.06,1.06,1.06,132887
ABY.AX,11-Apr-2014,0.295,0.295,0.295,0.295,0
ACB.AX,11-Apr-2014,0.054,0.054,0.053,0.053,75000
ACE.AX,11-Apr-2014,0.019,0.019,0.019,0.019,0
ACG.AX,11-Apr-2014,0.12,0.12,0.11,0.11,372079
ACK.AX,11-Apr-2014,0.22,0.22,0.22,0.22,0
ACL.AX,11-Apr-2014,0.51,0.51,0.46,0.48,379340
ACP.AX,11-Apr-2014,0.125,0.125,0.125,0.125,0
ACR.AX,11-Apr-2014,1.72,1.775,1.705,1.75,868220
ACS.AX,11-Apr-2014,0.195,0.195,0.195,0.195,0
ACU.AX,11-Apr-2014,0.001,0.001,0.001,0.001,0
ACW.AX,11-Apr-2014,0.037,0.037,0.035,0.035,47191
ADA.AX,11-Apr-2014,0.35,0.35,0.35,0.35,0
ADD.AX,11-Apr-2014,0.003,0.003,0.003,0.003,0
ADJ.AX,11-Apr-2014,0.073,0.074,0.065,0.066,2763865
ADN.AX,11-Apr-2014,0.052,0.054,0.052,0.054,20979
ADO.AX,11-Apr-2014,0.21,0.212,0.205,0.21,3441760
ADQ.AX,11-Apr-2014,0.012,0.012,0.012,0.012,0
ADX.AX,11-Apr-2014,0.012,0.012,0.012,0.012,0
ADY.AX,11-Apr-2014,0.013,0.013,0.013,0.013,44500
AEB.AX,11-Apr-2014,0.12,0.125,0.115,0.125,84000
AED.AX,11-Apr-2014,0.145,0.145,0.145,0.145,0
AEE.AX,11-Apr-2014,0.034,0.035,0.034,0.035,1334000
AEF.AX,11-Apr-2014,30.02,30.02,30.02,30.02,0
AEI.AX,11-Apr-2014,0.12,0.12,0.12,0.12,0
AEJ.AX,11-Apr-2014,8,8,8,8,0
AES.AX,11-Apr-2014,0.035,0.035,0.035,0.035,0
AFA.AX,11-Apr-2014,0.2,0.2,0.195,0.195,15921
AFI.AX,11-Apr-2014,5.99,6,5.98,5.98,168229
AFIG.AX,11-Apr-2014,116.2,116.2,116,116,1116
AFJ.AX,11-Apr-2014,1.32,1.335,1.285,1.295,4596494
AFR.AX,11-Apr-2014,0.088,0.088,0.088,0.088,0
AFT.AX,11-Apr-2014,0.001,0.001,0.001,0.001,1500000
AGD.AX,11-Apr-2014,0.09,0.09,0.09,0.09,0
AGE.AX,11-Apr-2014,0.05,0.05,0.05,0.05,4200
AGF.AX,11-Apr-2014,0.755,0.76,0.75,0.755,238720
AGG.AX,11-Apr-2014,3.82,3.91,3.8,3.91,2627
AGI.AX,11-Apr-2014,3.98,4.04,3.9,4.03,496920
AGJ.AX,11-Apr-2014,0.082,0.082,0.082,0.082,0
AGO.AX,11-Apr-2014,1,1.027,0.997,1.01,6566654
AGOKOS.AX,11-Apr-2014,0.31,0.31,0.31,0.31,0
