Symbol,Date,Open,High,Low,Close,Volume
1PG.AX,23-Dec-2014,1.025,1.03,0.98,1.02,256926
3PL.AX,23-Dec-2014,2.09,2.1,2,2.07,230883
8CO.AX,23-Dec-2014,0.2,0.2,0.2,0.2,0
8IH.AX,23-Dec-2014,0.35,0.35,0.33,0.34,54450
AAA.AX,23-Dec-2014,50.2,50.21,50.19,50.21,72958
AAC.AX,23-Dec-2014,1.435,1.435,1.4,1.405,282674
AAD.AX,23-Dec-2014,2.94,2.96,2.9,2.9,1712743
AADKOA.AX,23-Dec-2014,0.63,0.63,0.63,0.63,19000
AAI.AX,23-Dec-2014,20.5,20.5,20.5,20.5,0
AAJ.AX,23-Dec-2014,0.013,0.013,0.013,0.013,0
AAK.AX,23-Dec-2014,0.002,0.002,0.002,0.002,0
AAL.AX,23-Dec-2014,0.003,0.003,0.003,0.003,0
AAP.AX,23-Dec-2014,0.01,0.01,0.01,0.01,0
AAR.AX,23-Dec-2014,0.009,0.009,0.009,0.009,0
AAT.AX,23-Dec-2014,1.3,1.3,1.3,1.3,0
AAU.AX,23-Dec-2014,0.059,0.059,0.059,0.059,0
AAX.AX,23-Dec-2014,0.432,0.432,0.43,0.43,18970
ABC.AX,23-Dec-2014,3.55,3.565,3.53,3.53,1603419
ABCKOE.AX,23-Dec-2014,0.88,0.88,0.88,0.88,0
ABCKOP.AX,23-Dec-2014,0.815,0.815,0.815,0.815,0
ABCKOQ.AX,23-Dec-2014,1.26,1.26,1.26,1.26,0
ABP.AX,23-Dec-2014,3.05,3.05,3.01,3.01,354433
ABU.AX,23-Dec-2014,0.27,0.27,0.27,0.27,1667
ABV.AX,23-Dec-2014,0.006,0.006,0.006,0.006,0
ABVO.AX,23-Dec-2014,0.002,0.002,0.002,0.002,0
ABW.AX,23-Dec-2014,1.03,1.03,1.03,1.03,0
ABX.AX,23-Dec-2014,0.3,0.305,0.295,0.3,117707
ABY.AX,23-Dec-2014,0.205,0.205,0.195,0.2,72000
ACB.AX,23-Dec-2014,0.043,0.043,0.042,0.042,400000
ACE.AX,23-Dec-2014,0.019,0.019,0.019,0.019,0
ACG.AX,23-Dec-2014,0.091,0.091,0.091,0.091,46200
ACK.AX,23-Dec-2014,0.35,0.35,0.35,0.35,0
ACL.AX,23-Dec-2014,0.085,0.088,0.085,0.085,112762
ACO.AX,23-Dec-2014,1.3,1.3,1.28,1.28,256149
ACP.AX,23-Dec-2014,0.21,0.21,0.21,0.21,0
ACQ.AX,23-Dec-2014,0.745,0.745,0.72,0.72,50000
ACR.AX,23-Dec-2014,1.25,1.35,1.25,1.295,509966
ACS.AX,23-Dec-2014,0.14,0.14,0.14,0.14,0
ACU.AX,23-Dec-2014,0.001,0.001,0.001,0.001,0
ACW.AX,23-Dec-2014,0.038,0.04,0.038,0.04,791233
ACX.AX,23-Dec-2014,1.79,1.79,1.79,1.79,2005500
ADA.AX,23-Dec-2014,0.3,0.3,0.3,0.3,32
ADD.AX,23-Dec-2014,0.027,0.027,0.027,0.027,0
ADJ.AX,23-Dec-2014,0.094,0.097,0.092,0.092,397286
ADN.AX,23-Dec-2014,0.025,0.025,0.025,0.025,0
ADNO.AX,23-Dec-2014,0.005,0.005,0.005,0.005,0
ADO.AX,23-Dec-2014,0.13,0.13,0.125,0.125,462869
ADQ.AX,23-Dec-2014,0.011,0.011,0.011,0.011,0
ADV.AX,23-Dec-2014,0.005,0.005,0.005,0.005,0
ADX.AX,23-Dec-2014,0.006,0.007,0.006,0.007,560000
ADY.AX,23-Dec-2014,0.024,0.024,0.02,0.02,485635
AEB.AX,23-Dec-2014,0.075,0.079,0.075,0.079,10000
AED.AX,23-Dec-2014,0.145,0.145,0.145,0.145,0
AEE.AX,23-Dec-2014,0.028,0.028,0.028,0.028,40962
AEF.AX,23-Dec-2014,42,42,42,42,120
AEI.AX,23-Dec-2014,0.255,0.27,0.255,0.27,37764
AEJ.AX,23-Dec-2014,8,8,8,8,0
AES.AX,23-Dec-2014,0.035,0.035,0.035,0.035,0
AFA.AX,23-Dec-2014,0.18,0.18,0.18,0.18,0
AFI.AX,23-Dec-2014,6.01,6.03,5.99,6.02,207329
AFIG.AX,23-Dec-2014,116.3,116.3,116.3,116.3,500
AFJ.AX,23-Dec-2014,1.195,1.2,1.18,1.19,108817
AFR.AX,23-Dec-2014,0.057,0.06,0.057,0.06,50694
AFT.AX,23-Dec-2014,0.001,0.001,0.001,0.001,0
AGD.AX,23-Dec-2014,0.13,0.13,0.13,0.13,0
AGE.AX,23-Dec-2014,0.025,0.025,0.025,0.025,0
AGF.AX,23-Dec-2014,1.08,1.08,1.06,1.075,711452
AGG.AX,23-Dec-2014,2.06,2.06,2.06,2.06,125
AGI.AX,23-Dec-2014,2.2,2.2,2.15,2.17,502124
AGJ.AX,23-Dec-2014,0.08,0.08,0.08,0.08,0
AGL.AX,23-Dec-2014,13.49,13.58,13.35,13.35,929616
AGLHA.AX,23-Dec-2014,104.3,104.399,103.7,104.399,2599
AGLKOB.AX,23-Dec-2014,1.13,1.13,1.13,1.13,0
AGLKOD.AX,23-Dec-2014,2.57,2.57,2.38,2.42,6000
AGLKOP.AX,23-Dec-2014,1.105,1.105,1.105,1.105,0
AGLKOR.AX,23-Dec-2014,2.74,2.74,2.74,2.74,0
AGO.AX,23-Dec-2014,0.15,0.155,0.14,0.14,8629169
AGOKOQ.AX,23-Dec-2014,0.17,0.17,0.17,0.17,0
AGOKOR.AX,23-Dec-2014,0.66,0.66,0.66,0.66,0
AGOKOS.AX,23-Dec-2014,0.26,0.26,0.26,0.26,0
AGOKOU.AX,23-Dec-2014,0.255,0.255,0.255,0.255,0
AGOKOV.AX,23-Dec-2014,0.44,0.44,0.44,0.44,0
AGR.AX,23-Dec-2014,0.035,0.035,0.03,0.03,262500
AGS.AX,23-Dec-2014,0.081,0.081,0.081,0.081,10163
AGX.AX,23-Dec-2014,0.014,0.014,0.014,0.014,0
AGY.AX,23-Dec-2014,0.001,0.001,0.001,0.001,1954208
AHA.AX,23-Dec-2014,0.037,0.037,0.037,0.037,0
AHD.AX,23-Dec-2014,10.9,10.9,10.7,10.82,26472
AHF.AX,23-Dec-2014,0.275,0.275,0.265,0.265,102077
AHK.AX,23-Dec-2014,0.079,0.079,0.079,0.079,0
AHN.AX,23-Dec-2014,0.02,0.02,0.02,0.02,0
AHQ.AX,23-Dec-2014,0.023,0.023,0.023,0.023,60000
AHR.AX,23-Dec-2014,0.19,0.19,0.19,0.19,0
AHY.AX,23-Dec-2014,1.74,1.75,1.71,1.71,670018
AHZ.AX,23-Dec-2014,0.11,0.115,0.11,0.11,463416
AIA.AX,23-Dec-2014,4.18,4.25,4.16,4.25,33224
