Symbol,Date,Open,High,Low,Close,Volume
1PG.AX,24-Jun-2015,2,2.03,1.985,2,841293
1ST.AX,24-Jun-2015,0.155,0.155,0.155,0.155,17000
3DM.AX,24-Jun-2015,0.11,0.12,0.11,0.12,863344
3PL.AX,24-Jun-2015,2.35,2.35,2.35,2.35,0
88E.AX,24-Jun-2015,0.015,0.017,0.015,0.015,26980921
88EO.AX,24-Jun-2015,0.005,0.005,0.004,0.004,10700000
8CO.AX,24-Jun-2015,0.245,0.245,0.235,0.235,80000
8IH.AX,24-Jun-2015,0.965,0.965,0.965,0.965,12780
A2M.AX,24-Jun-2015,0.68,0.68,0.65,0.665,3592761
AAA.AX,24-Jun-2015,50.16,50.18,50.16,50.18,52342
AAC.AX,24-Jun-2015,1.32,1.325,1.305,1.315,804380
AACKOA.AX,24-Jun-2015,0.325,0.325,0.325,0.325,0
AAD.AX,24-Jun-2015,2.29,2.31,2.25,2.31,1747048
AADKOB.AX,24-Jun-2015,0.82,0.82,0.82,0.82,0
AADKOC.AX,24-Jun-2015,0.525,0.525,0.525,0.525,0
AADKOP.AX,24-Jun-2015,0.64,0.64,0.64,0.64,0
AADKOQ.AX,24-Jun-2015,0.59,0.59,0.59,0.59,0
AAI.AX,24-Jun-2015,20.9,20.9,20.9,20.9,0
AAJ.AX,24-Jun-2015,0.008,0.008,0.008,0.008,0
AAK.AX,24-Jun-2015,0.001,0.001,0.001,0.001,0
AAL.AX,24-Jun-2015,0.004,0.004,0.004,0.004,1242
AAP.AX,24-Jun-2015,0.011,0.011,0.011,0.011,0
AAR.AX,24-Jun-2015,0.007,0.007,0.007,0.007,22300
AAT.AX,24-Jun-2015,1.3,1.3,1.3,1.3,0
AAU.AX,24-Jun-2015,0.036,0.036,0.036,0.036,0
AAX.AX,24-Jun-2015,0.2,0.21,0.2,0.21,568089
AB1.AX,24-Jun-2015,0.18,0.18,0.17,0.17,23151
ABA.AX,24-Jun-2015,5.1,5.1,5.08,5.08,10529
ABC.AX,24-Jun-2015,4.6,4.61,4.54,4.56,972341
ABCKOE.AX,24-Jun-2015,1.59,1.59,1.59,1.59,0
ABCKOP.AX,24-Jun-2015,0.815,0.815,0.815,0.815,0
ABCKOQ.AX,24-Jun-2015,1.075,1.075,1.075,1.075,0
ABL.AX,24-Jun-2015,0.018,0.018,0.018,0.018,15061
ABP.AX,24-Jun-2015,3.12,3.12,3.02,3.09,953563
ABU.AX,24-Jun-2015,0.25,0.25,0.245,0.25,226768
ABV.AX,24-Jun-2015,0.007,0.007,0.006,0.006,3000000
ABVO.AX,24-Jun-2015,0.002,0.002,0.002,0.002,2000000
ABW.AX,24-Jun-2015,0.965,0.965,0.965,0.965,0
ABX.AX,24-Jun-2015,0.295,0.295,0.28,0.28,62780
ABY.AX,24-Jun-2015,0.22,0.22,0.205,0.215,184243
ACB.AX,24-Jun-2015,0.029,0.029,0.028,0.028,575047
ACE.AX,24-Jun-2015,0.76,0.76,0.76,0.76,0
ACG.AX,24-Jun-2015,0.185,0.185,0.185,0.185,34300
ACK.AX,24-Jun-2015,0.44,0.44,0.44,0.44,0
ACL.AX,24-Jun-2015,0.034,0.035,0.033,0.033,2034303
ACO.AX,24-Jun-2015,1.82,1.82,1.82,1.82,2191
ACP.AX,24-Jun-2015,0.225,0.225,0.225,0.225,0
ACQ.AX,24-Jun-2015,0.715,0.715,0.705,0.705,255000
ACQO.AX,24-Jun-2015,0.001,0.001,0.001,0.001,5000
ACR.AX,24-Jun-2015,0.82,0.85,0.82,0.85,279923
ACS.AX,24-Jun-2015,0.135,0.135,0.135,0.135,10000
ACU.AX,24-Jun-2015,0.135,0.14,0.135,0.14,471441
ACW.AX,24-Jun-2015,0.075,0.075,0.072,0.075,153239
ACWOA.AX,24-Jun-2015,0.002,0.002,0.002,0.002,0
ACX.AX,24-Jun-2015,3.17,3.3,3.17,3.24,364398
ADA.AX,24-Jun-2015,0.575,0.575,0.575,0.575,0
ADD.AX,24-Jun-2015,0.018,0.018,0.018,0.018,0
ADH.AX,24-Jun-2015,2.75,2.82,2.74,2.81,634406
ADJ.AX,24-Jun-2015,0.096,0.097,0.096,0.096,320000
ADN.AX,24-Jun-2015,0.024,0.024,0.022,0.023,1131653
ADNO.AX,24-Jun-2015,0.004,0.004,0.004,0.004,0
ADO.AX,24-Jun-2015,0.079,0.081,0.078,0.08,1423252
ADQ.AX,24-Jun-2015,0.011,0.011,0.011,0.011,0
ADV.AX,24-Jun-2015,0.007,0.007,0.007,0.007,0
ADX.AX,24-Jun-2015,0.004,0.004,0.004,0.004,0
