Symbol,Date,Open,High,Low,Close,Volume
1PG.AX,29-Jul-2015,2.65,2.71,2.62,2.68,210248
1ST.AX,29-Jul-2015,0.12,0.12,0.12,0.12,4200
3DM.AX,29-Jul-2015,0.095,0.098,0.094,0.096,404518
3PL.AX,29-Jul-2015,2.27,2.29,2.21,2.27,358750
88E.AX,29-Jul-2015,0.013,0.013,0.012,0.012,3730000
88EO.AX,29-Jul-2015,0.003,0.003,0.003,0.003,100000
8CO.AX,29-Jul-2015,0.24,0.24,0.24,0.24,0
8IH.AX,29-Jul-2015,0.84,0.84,0.8,0.83,49300
A2M.AX,29-Jul-2015,0.755,0.755,0.75,0.755,839125
AAA.AX,29-Jul-2015,50.19,50.19,50.17,50.19,51589
AAC.AX,29-Jul-2015,1.435,1.445,1.42,1.43,623321
AACKOA.AX,29-Jul-2015,0.53,0.53,0.53,0.53,0
AACKOB.AX,29-Jul-2015,0.395,0.395,0.395,0.395,0
AAD.AX,29-Jul-2015,2.36,2.37,2.31,2.34,1282516
AADKOB.AX,29-Jul-2015,0.82,0.82,0.82,0.82,0
AADKOC.AX,29-Jul-2015,0.57,0.57,0.57,0.57,0
AADKOP.AX,29-Jul-2015,0.64,0.64,0.64,0.64,0
AADKOQ.AX,29-Jul-2015,0.59,0.59,0.59,0.59,0
AAI.AX,29-Jul-2015,18,18,18,18,0
AAJ.AX,29-Jul-2015,0.007,0.007,0.007,0.007,0
AAK.AX,29-Jul-2015,0.001,0.001,0.001,0.001,0
AAL.AX,29-Jul-2015,0.004,0.004,0.004,0.004,0
AAP.AX,29-Jul-2015,0.011,0.011,0.011,0.011,0
AAR.AX,29-Jul-2015,0.01,0.01,0.01,0.01,0
AAT.AX,29-Jul-2015,1.3,1.3,1.3,1.3,0
AAU.AX,29-Jul-2015,0.041,0.041,0.041,0.041,13000
AAX.AX,29-Jul-2015,0.33,0.33,0.305,0.315,172570
AB1.AX,29-Jul-2015,0.2,0.2,0.2,0.2,13000
