Symbol,Date,Open,High,Low,Close,Volume
1PG.AX,27-Aug-2015,3.75,4.05,3.75,4.03,725280
1ST.AX,27-Aug-2015,0.12,0.12,0.12,0.12,17000
3DM.AX,27-Aug-2015,0.089,0.099,0.086,0.091,2157731
3PL.AX,27-Aug-2015,2.15,2.23,1.93,2.05,3663350
88E.AX,27-Aug-2015,0.011,0.012,0.011,0.011,25223618
88EO.AX,27-Aug-2015,0.005,0.005,0.004,0.004,2201295
8CO.AX,27-Aug-2015,0.21,0.21,0.21,0.21,43550
8IH.AX,27-Aug-2015,0.75,0.76,0.75,0.76,73001
A2M.AX,27-Aug-2015,0.66,0.685,0.66,0.67,510739
AAA.AX,27-Aug-2015,50.19,50.19,50.17,50.17,14623
AAC.AX,27-Aug-2015,1.325,1.355,1.325,1.355,1116249
AACKOA.AX,27-Aug-2015,0.53,0.53,0.53,0.53,0
AACKOB.AX,27-Aug-2015,0.25,0.25,0.25,0.25,0
AAD.AX,27-Aug-2015,2.53,2.57,2.47,2.49,2540870
AADKOB.AX,27-Aug-2015,0.63,0.63,0.63,0.63,0
AADKOC.AX,27-Aug-2015,0.57,0.57,0.57,0.57,0
AADKOP.AX,27-Aug-2015,0.64,0.64,0.64,0.64,0
AADKOQ.AX,27-Aug-2015,0.77,0.77,0.77,0.77,40000
AAI.AX,27-Aug-2015,13.5,13.5,13.5,13.5,500
AAJ.AX,27-Aug-2015,0.005,0.005,0.005,0.005,13299
AAK.AX,27-Aug-2015,0.001,0.001,0.001,0.001,0
AAL.AX,27-Aug-2015,0.002,0.002,0.002,0.002,591428
AAP.AX,27-Aug-2015,0.01,0.01,0.01,0.01,139000
AAR.AX,27-Aug-2015,0.006,0.008,0.006,0.008,126666
AAT.AX,27-Aug-2015,1.3,1.3,1.3,1.3,0
AAU.AX,27-Aug-2015,0.043,0.043,0.043,0.043,0
AAX.AX,27-Aug-2015,0.36,0.41,0.36,0.395,320389
AB1.AX,27-Aug-2015,0.16,0.185,0.16,0.175,21967
ABA.AX,27-Aug-2015,5.28,5.35,5.27,5.35,4993
ABC.AX,27-Aug-2015,4.49,4.53,4.42,4.51,1293912
ABCKOE.AX,27-Aug-2015,0.81,0.81,0.81,0.81,0
ABCKOP.AX,27-Aug-2015,0.815,0.815,0.815,0.815,0
ABCKOQ.AX,27-Aug-2015,1.44,1.44,1.44,1.44,0
ABL.AX,27-Aug-2015,0.024,0.024,0.024,0.024,0
ABP.AX,27-Aug-2015,3.02,3.09,2.99,3.06,632088
ABU.AX,27-Aug-2015,0.21,0.22,0.2,0.21,275005
ABV.AX,27-Aug-2015,0.008,0.008,0.007,0.007,3277784
ABVO.AX,27-Aug-2015,0.005,0.005,0.005,0.005,0
ABW.AX,27-Aug-2015,0.97,0.99,0.97,0.97,78100
ABX.AX,27-Aug-2015,0.175,0.185,0.17,0.185,53863
ABY.AX,27-Aug-2015,0.18,0.18,0.17,0.17,4040
