Symbol,Date,Open,High,Low,Close,Volume
1PG.AX,30-Jun-2015,1.86,1.94,1.815,1.94,301536
1ST.AX,30-Jun-2015,0.135,0.145,0.135,0.135,192829
3DM.AX,30-Jun-2015,0.115,0.12,0.115,0.115,385723
3PL.AX,30-Jun-2015,2.18,2.22,2.17,2.22,50670
88E.AX,30-Jun-2015,0.014,0.015,0.014,0.014,2271169
88EO.AX,30-Jun-2015,0.005,0.005,0.005,0.005,3544000
8CO.AX,30-Jun-2015,0.22,0.22,0.22,0.22,23900
8IH.AX,30-Jun-2015,0.87,0.89,0.84,0.86,38068
A2M.AX,30-Jun-2015,0.64,0.65,0.63,0.64,1691918
AAA.AX,30-Jun-2015,50.19,50.19,50.1,50.18,80186
AAC.AX,30-Jun-2015,1.235,1.26,1.22,1.235,1794608
AACKOA.AX,30-Jun-2015,0.325,0.325,0.325,0.325,0
AAD.AX,30-Jun-2015,2.15,2.2,2.14,2.17,1498500
AADKOB.AX,30-Jun-2015,0.82,0.82,0.82,0.82,0
AADKOC.AX,30-Jun-2015,0.505,0.505,0.505,0.505,0
AADKOP.AX,30-Jun-2015,0.64,0.64,0.64,0.64,0
AADKOQ.AX,30-Jun-2015,0.59,0.59,0.59,0.59,0
AAI.AX,30-Jun-2015,18.98,18.98,18.98,18.98,0
AAJ.AX,30-Jun-2015,0.007,0.007,0.007,0.007,500000
AAK.AX,30-Jun-2015,0.001,0.001,0.001,0.001,0
AAL.AX,30-Jun-2015,0.003,0.003,0.003,0.003,13888
AAP.AX,30-Jun-2015,0.012,0.012,0.012,0.012,0
AAR.AX,30-Jun-2015,0.007,0.007,0.007,0.007,379156
AAT.AX,30-Jun-2015,1.3,1.3,1.3,1.3,0
AAU.AX,30-Jun-2015,0.036,0.036,0.036,0.036,130000
AAX.AX,30-Jun-2015,0.265,0.275,0.25,0.25,408853
AB1.AX,30-Jun-2015,0.17,0.17,0.17,0.17,0
ABA.AX,30-Jun-2015,5.05,5.05,5.05,5.05,4722
ABC.AX,30-Jun-2015,4.25,4.35,4.24,4.31,1311412
ABCKOE.AX,30-Jun-2015,0.995,0.995,0.995,0.995,8500
ABCKOP.AX,30-Jun-2015,0.815,0.815,0.815,0.815,0
ABCKOQ.AX,30-Jun-2015,1.74,1.74,1.74,1.74,0
ABL.AX,30-Jun-2015,0.025,0.025,0.025,0.025,1000
ABP.AX,30-Jun-2015,2.93,2.97,2.89,2.92,1426255
ABU.AX,30-Jun-2015,0.245,0.255,0.245,0.25,249653
ABV.AX,30-Jun-2015,0.006,0.006,0.006,0.006,406707
ABVO.AX,30-Jun-2015,0.002,0.002,0.002,0.002,0
ABW.AX,30-Jun-2015,0.95,0.95,0.95,0.95,97000
ABX.AX,30-Jun-2015,0.265,0.265,0.255,0.265,272604
ABY.AX,30-Jun-2015,0.215,0.22,0.215,0.22,176407
ACB.AX,30-Jun-2015,0.027,0.027,0.026,0.026,385949
ACE.AX,30-Jun-2015,0.76,0.76,0.76,0.76,0
