Symbol,Date,Open,High,Low,Close,Volume
1PG.AX,06-Feb-2015,0.97,0.99,0.95,0.99,468104
3PL.AX,06-Feb-2015,2.39,2.4,2.34,2.35,29938
8CO.AX,06-Feb-2015,0.2,0.2,0.2,0.2,0
8IH.AX,06-Feb-2015,0.4,0.4,0.39,0.39,287300
AAA.AX,06-Feb-2015,50.12,50.12,50.1,50.11,101012
AAC.AX,06-Feb-2015,1.56,1.565,1.535,1.55,661784
AAD.AX,06-Feb-2015,2.84,2.88,2.8,2.8,890014
AADKOB.AX,06-Feb-2015,0.765,0.765,0.765,0.765,0
AADKOQ.AX,06-Feb-2015,0.59,0.59,0.59,0.59,0
AAI.AX,06-Feb-2015,22.4,22.4,22.4,22.4,0
AAJ.AX,06-Feb-2015,0.013,0.013,0.013,0.013,0
AAK.AX,06-Feb-2015,0.001,0.001,0.001,0.001,0
AAL.AX,06-Feb-2015,0.003,0.003,0.003,0.003,0
AAP.AX,06-Feb-2015,0.01,0.01,0.01,0.01,0
AAR.AX,06-Feb-2015,0.011,0.011,0.011,0.011,0
AAT.AX,06-Feb-2015,1.3,1.3,1.3,1.3,0
AAU.AX,06-Feb-2015,0.051,0.051,0.051,0.051,21500
AAX.AX,06-Feb-2015,0.41,0.42,0.405,0.41,49742
AB1.AX,06-Feb-2015,0.185,0.185,0.185,0.185,1313
ABC.AX,06-Feb-2015,3.84,3.9,3.79,3.87,1479222
ABCKOE.AX,06-Feb-2015,1.235,1.235,1.235,1.235,3000
ABCKOP.AX,06-Feb-2015,0.815,0.815,0.815,0.815,0
ABCKOQ.AX,06-Feb-2015,1.075,1.075,1.075,1.075,0
ABL.AX,06-Feb-2015,0.012,0.012,0.012,0.012,0
ABP.AX,06-Feb-2015,3.29,3.29,3.23,3.28,547318
ABU.AX,06-Feb-2015,0.3,0.3,0.29,0.29,461666
ABV.AX,06-Feb-2015,0.008,0.008,0.008,0.008,0
ABVO.AX,06-Feb-2015,0.003,0.003,0.003,0.003,0
ABW.AX,06-Feb-2015,0.97,0.97,0.97,0.97,23406
ABX.AX,06-Feb-2015,0.3,0.3,0.29,0.29,30000
