Symbol,Date,Open,High,Low,Close,Volume
1PG.AX,12-May-2015,1.83,1.84,1.79,1.8,384613
3DM.AX,12-May-2015,0.12,0.13,0.12,0.12,2097051
3PL.AX,12-May-2015,2.64,2.75,2.64,2.69,18767
88E.AX,12-May-2015,0.009,0.009,0.009,0.009,2166813
88EO.AX,12-May-2015,0.003,0.003,0.003,0.003,2000000
8CO.AX,12-May-2015,0.195,0.195,0.195,0.195,0
8IH.AX,12-May-2015,1.03,1.05,0.98,0.98,181000
A2M.AX,12-May-2015,0.495,0.51,0.48,0.485,197408
AAA.AX,12-May-2015,50.13,50.14,50.12,50.12,54134
AAC.AX,12-May-2015,1.53,1.535,1.505,1.52,938417
AACKOA.AX,12-May-2015,0.325,0.325,0.325,0.325,0
AAD.AX,12-May-2015,2.07,2.1,2.05,2.09,1300794
AADKOB.AX,12-May-2015,0.82,0.82,0.82,0.82,0
AADKOC.AX,12-May-2015,0.47,0.47,0.47,0.47,0
AADKOP.AX,12-May-2015,0.365,0.365,0.365,0.365,0
AADKOQ.AX,12-May-2015,0.59,0.59,0.59,0.59,0
AAI.AX,12-May-2015,20.9,20.9,20.9,20.9,0
AAJ.AX,12-May-2015,0.007,0.007,0.007,0.007,1000000
AAK.AX,12-May-2015,0.001,0.001,0.001,0.001,0
AAL.AX,12-May-2015,0.003,0.003,0.003,0.003,0
AAP.AX,12-May-2015,0.01,0.01,0.01,0.01,0
AAR.AX,12-May-2015,0.01,0.01,0.01,0.01,0
AAT.AX,12-May-2015,1.3,1.3,1.3,1.3,0
AAU.AX,12-May-2015,0.04,0.04,0.04,0.04,0
AAX.AX,12-May-2015,0.28,0.28,0.27,0.27,48189
AB1.AX,12-May-2015,0.18,0.185,0.18,0.185,607655
ABA.AX,12-May-2015,5.15,5.17,5.14,5.17,8322
ABC.AX,12-May-2015,4.52,4.61,4.52,4.56,1829740
ABCKOE.AX,12-May-2015,1.59,1.59,1.59,1.59,0
ABCKOP.AX,12-May-2015,0.815,0.815,0.815,0.815,0
ABCKOQ.AX,12-May-2015,1.075,1.075,1.075,1.075,0
ABL.AX,12-May-2015,0.02,0.02,0.02,0.02,0
ABP.AX,12-May-2015,2.92,2.95,2.905,2.94,646729
ABU.AX,12-May-2015,0.25,0.25,0.245,0.25,295326
ABV.AX,12-May-2015,0.006,0.006,0.006,0.006,0
ABVO.AX,12-May-2015,0.003,0.003,0.003,0.003,0
ABW.AX,12-May-2015,0.98,0.98,0.98,0.98,48494
ABX.AX,12-May-2015,0.305,0.33,0.305,0.325,285193
ABY.AX,12-May-2015,0.215,0.22,0.195,0.195,285765
