Symbol,Date,Open,High,Low,Close,Volume
1PG.AX,15-Jun-2015,1.53,1.625,1.53,1.57,545352
1ST.AX,15-Jun-2015,0.17,0.17,0.16,0.16,285743
3DM.AX,15-Jun-2015,0.098,0.098,0.092,0.097,558968
3PL.AX,15-Jun-2015,2.4,2.4,2.35,2.35,2616
88E.AX,15-Jun-2015,0.016,0.019,0.016,0.018,24668281
88EO.AX,15-Jun-2015,0.005,0.006,0.005,0.006,5476000
8CO.AX,15-Jun-2015,0.185,0.185,0.185,0.185,0
8IH.AX,15-Jun-2015,0.84,0.84,0.84,0.84,8000
A2M.AX,15-Jun-2015,0.53,0.54,0.525,0.525,916435
AAA.AX,15-Jun-2015,50.13,50.15,50.13,50.15,61353
AAC.AX,15-Jun-2015,1.305,1.325,1.305,1.315,1253070
AACKOA.AX,15-Jun-2015,0.325,0.325,0.325,0.325,0
AAD.AX,15-Jun-2015,2.16,2.21,2.13,2.19,1718464
AADKOB.AX,15-Jun-2015,0.82,0.82,0.82,0.82,0
AADKOC.AX,15-Jun-2015,0.44,0.44,0.44,0.44,0
AADKOP.AX,15-Jun-2015,0.64,0.64,0.64,0.64,0
AADKOQ.AX,15-Jun-2015,0.59,0.59,0.59,0.59,0
AAI.AX,15-Jun-2015,20.9,20.9,20.9,20.9,0
AAJ.AX,15-Jun-2015,0.01,0.01,0.01,0.01,100000
AAK.AX,15-Jun-2015,0.001,0.001,0.001,0.001,2500000
AAL.AX,15-Jun-2015,0.003,0.003,0.003,0.003,0
AAP.AX,15-Jun-2015,0.011,0.012,0.011,0.012,1255000
AAR.AX,15-Jun-2015,0.008,0.008,0.008,0.008,0
AAT.AX,15-Jun-2015,1.3,1.3,1.3,1.3,0
AAU.AX,15-Jun-2015,0.037,0.037,0.037,0.037,0
AAX.AX,15-Jun-2015,0.235,0.235,0.215,0.225,94696
AB1.AX,15-Jun-2015,0.2,0.2,0.2,0.2,0
ABA.AX,15-Jun-2015,5.15,5.15,5.05,5.05,19533
ABC.AX,15-Jun-2015,4.5,4.545,4.48,4.52,805333
ABCKOE.AX,15-Jun-2015,1.59,1.59,1.59,1.59,0
ABCKOP.AX,15-Jun-2015,0.815,0.815,0.815,0.815,0
ABCKOQ.AX,15-Jun-2015,1.075,1.075,1.075,1.075,0
ABL.AX,15-Jun-2015,0.019,0.02,0.019,0.02,610000
ABP.AX,15-Jun-2015,2.92,3.005,2.92,2.96,1077808
ABU.AX,15-Jun-2015,0.26,0.265,0.252,0.265,178658
ABV.AX,15-Jun-2015,0.007,0.007,0.007,0.007,285714
ABVO.AX,15-Jun-2015,0.002,0.002,0.002,0.002,0
ABW.AX,15-Jun-2015,0.97,0.97,0.97,0.97,6960
ABX.AX,15-Jun-2015,0.3,0.3,0.295,0.295,29005
ABY.AX,15-Jun-2015,0.22,0.22,0.22,0.22,119319
ACB.AX,15-Jun-2015,0.034,0.034,0.034,0.034,5000
ACE.AX,15-Jun-2015,0.76,0.76,0.76,0.76,0
ACG.AX,15-Jun-2015,0.2,0.2,0.2,0.2,13895
ACK.AX,15-Jun-2015,0.44,0.44,0.44,0.44,0
ACL.AX,15-Jun-2015,0.036,0.036,0.035,0.035,2387172
ACO.AX,15-Jun-2015,1.8,1.8,1.8,1.8,1050
ACP.AX,15-Jun-2015,0.225,0.225,0.225,0.225,0
ACQ.AX,15-Jun-2015,0.74,0.74,0.74,0.74,0
