Symbol,Date,Open,High,Low,Close,Volume
1PG.AX,03-Jun-2015,1.475,1.475,1.38,1.42,253359
3DM.AX,03-Jun-2015,0.115,0.12,0.115,0.115,1176573
3PL.AX,03-Jun-2015,2.43,2.43,2.43,2.43,8
88E.AX,03-Jun-2015,0.015,0.016,0.015,0.016,6046245
88EO.AX,03-Jun-2015,0.005,0.005,0.005,0.005,222260
8CO.AX,03-Jun-2015,0.18,0.18,0.18,0.18,0
8IH.AX,03-Jun-2015,0.87,0.875,0.87,0.87,22220
A2M.AX,03-Jun-2015,0.47,0.51,0.47,0.505,3168563
AAA.AX,03-Jun-2015,50.11,50.11,50.09,50.09,110887
AAC.AX,03-Jun-2015,1.365,1.375,1.32,1.355,1511682
AACKOA.AX,03-Jun-2015,0.325,0.325,0.325,0.325,0
AAD.AX,03-Jun-2015,2.19,2.2,2.15,2.16,3074887
AADKOB.AX,03-Jun-2015,0.82,0.82,0.82,0.82,0
AADKOC.AX,03-Jun-2015,0.44,0.44,0.44,0.44,0
AADKOP.AX,03-Jun-2015,0.615,0.615,0.615,0.615,0
AADKOQ.AX,03-Jun-2015,0.59,0.59,0.59,0.59,0
AAI.AX,03-Jun-2015,20.9,20.9,20.9,20.9,0
AAJ.AX,03-Jun-2015,0.008,0.008,0.008,0.008,268333
AAK.AX,03-Jun-2015,0.001,0.001,0.001,0.001,0
AAL.AX,03-Jun-2015,0.003,0.003,0.003,0.003,0
AAP.AX,03-Jun-2015,0.01,0.01,0.01,0.01,0
AAR.AX,03-Jun-2015,0.011,0.011,0.011,0.011,0
AAT.AX,03-Jun-2015,1.3,1.3,1.3,1.3,0
AAU.AX,03-Jun-2015,0.037,0.037,0.037,0.037,0
AAX.AX,03-Jun-2015,0.23,0.24,0.225,0.225,101987
AB1.AX,03-Jun-2015,0.19,0.19,0.19,0.19,15000
ABA.AX,03-Jun-2015,5.05,5.06,5.05,5.05,16470
ABC.AX,03-Jun-2015,4.51,4.58,4.48,4.51,1170067
ABCKOE.AX,03-Jun-2015,1.59,1.59,1.59,1.59,0
ABCKOP.AX,03-Jun-2015,0.815,0.815,0.815,0.815,0
ABCKOQ.AX,03-Jun-2015,1.075,1.075,1.075,1.075,0
ABL.AX,03-Jun-2015,0.022,0.022,0.022,0.022,0
ABP.AX,03-Jun-2015,2.83,2.89,2.83,2.89,935454
ABU.AX,03-Jun-2015,0.265,0.265,0.26,0.26,154151
ABV.AX,03-Jun-2015,0.006,0.006,0.006,0.006,0
ABVO.AX,03-Jun-2015,0.003,0.003,0.003,0.003,0
ABW.AX,03-Jun-2015,0.965,0.965,0.965,0.965,71250
ABX.AX,03-Jun-2015,0.33,0.33,0.315,0.315,495088
ABY.AX,03-Jun-2015,0.22,0.22,0.22,0.22,7311
ACB.AX,03-Jun-2015,0.03,0.03,0.03,0.03,323000
ACE.AX,03-Jun-2015,0.019,0.019,0.019,0.019,0
ACG.AX,03-Jun-2015,0.22,0.22,0.215,0.215,226637
ACK.AX,03-Jun-2015,0.42,0.42,0.42,0.42,0
ACL.AX,03-Jun-2015,0.042,0.043,0.039,0.041,2983880
ACO.AX,03-Jun-2015,1.78,1.78,1.75,1.75,13836
ACP.AX,03-Jun-2015,0.225,0.225,0.225,0.225,0
ACQ.AX,03-Jun-2015,0.75,0.75,0.75,0.75,56650
ACQO.AX,03-Jun-2015,0.001,0.001,0.001,0.001,100000
ACR.AX,03-Jun-2015,0.915,0.915,0.89,0.9,130242
ACS.AX,03-Jun-2015,0.3,0.31,0.3,0.31,42500
ACU.AX,03-Jun-2015,0.16,0.175,0.16,0.17,793862
